Energy Transfer (meV),Count,Error
0.02,0.01255,5.78E-05
0.04,0.0531,2.04E-04
0.06,0.09571,3.90E-04
0.08,0.13557,5.63E-04
0.1,0.16063,6.74E-04
0.12,0.16823,7.47E-04
0.14,0.16228,7.57E-04
0.16,0.14836,7.44E-04
0.18,0.13579,7.87E-04
0.2,0.12572,8.91E-04
0.22,0.12206,9.36E-04
0.24,0.12061,0.00105
0.26,0.12164,0.0011
0.28,0.12359,0.00123
0.3,0.12663,0.00135
0.32,0.12981,0.0014
0.34,0.13286,0.00144
0.36,0.13599,0.00152
0.38,0.13845,0.00171
0.4,0.14166,0.00175
0.42,0.14394,0.00192
0.44,0.14753,0.00218
0.46,0.15029,0.0024
0.48,0.15472,0.0021
0.5,0.15827,0.00238
0.52,0.16189,0.00244
0.54,0.16453,0.00251
0.56,0.16927,0.0027
0.58,0.17201,0.00284
0.6,0.17512,0.00326
0.62,0.17618,0.0029
0.64,0.17832,0.00281
0.66,0.18063,0.00317
0.68,0.18632,0.00344
0.7,0.1919,0.00373
0.72,0.19493,0.00344
0.74,0.19326,0.00351
0.76,0.19305,0.00363
0.78,0.19391,0.00382
0.8,0.19653,0.0044
0.82,0.19896,0.00486
0.84,0.20512,0.00406
0.86,0.20905,0.004
0.88,0.21219,0.00474
0.9,0.21289,0.00478
0.92,0.21812,0.00439
0.94,0.2234,0.00462
0.96,0.22741,0.00517
0.98,0.23027,0.00455
1,0.23177,0.00564
1.02,0.23295,0.0063
1.04,0.2356,0.00523
1.06,0.2379,0.00597
1.08,0.24278,0.00601
1.1,0.24321,0.00489
1.12,0.24376,0.00662
1.14,0.2427,0.00619
1.16,0.24709,0.00525
1.18,0.2516,0.00452
1.20701,0.25454,0.00485
1.23403,0.25702,0.00598
1.25418,0.25999,0.00743
1.27445,0.26536,0.00681
1.29485,0.26043,0.00784
1.31537,0.25857,0.00671
1.33602,0.25776,0.00622
1.35679,0.26141,0.00805
1.3777,0.26073,0.0085
1.39873,0.26328,0.00679
1.4199,0.26502,0.00748
1.44119,0.26987,0.0083
1.46262,0.2727,0.00699
1.48418,0.27652,0.00869
1.50588,0.28262,0.00704
1.52771,0.28098,0.0077
1.54969,0.28283,0.00848
1.57179,0.28147,0.00879
1.59404,0.28927,0.00782
1.61643,0.29532,0.0083
1.63896,0.30078,0.00843
1.66164,0.29924,0.00969
1.68445,0.30057,0.00805
1.70742,0.30168,0.00762
1.73053,0.30376,0.00768
1.75379,0.30758,0.00738
1.77719,0.30838,0.0083
1.80075,0.3098,0.00829
1.82446,0.31542,0.00756
1.84832,0.31666,0.00747
1.87234,0.31807,0.00872
1.89651,0.31064,0.00965
1.92084,0.31677,0.00806
1.94533,0.32538,0.00877
1.96998,0.33348,0.00892
1.99479,0.34027,0.00798
2.01976,0.33968,0.00877
2.0449,0.34259,0.00856
2.0702,0.34153,0.00903
2.09567,0.34402,0.00835
2.12131,0.34779,0.00888
2.14711,0.34798,0.00971
2.17309,0.34874,0.009
2.19924,0.3498,0.00861
2.22557,0.34928,0.01079
2.25207,0.35376,0.01012
2.27875,0.35725,0.00933
2.30561,0.36592,0.00812
2.33265,0.36848,0.00879
2.35987,0.37004,0.00837
2.38728,0.36758,0.01033
2.41487,0.37095,0.00828
2.44265,0.3755,0.00969
2.47062,0.38464,0.00894
2.49878,0.38767,0.01088
2.52713,0.39405,0.00908
2.55568,0.39559,0.00898
2.58442,0.39769,0.01074
2.61336,0.3923,0.01023
2.6425,0.39512,0.00975
2.67185,0.40023,0.00906
2.70139,0.40786,0.01007
