Energy Transfer (meV),Count,Error
0.1,1.26E-03,3.71E-07
0.2,4.99E-04,2.37E-07
0.3,1.01E-04,3.53E-07
0.4,6.37E-05,5.11E-07
0.5,6.52E-05,7.28E-07
0.6,6.46E-05,7.72E-07
0.7,7.29E-05,1.11E-06
0.8,7.83E-05,1.10E-06
0.9,9.72E-05,1.55E-06
1,1.15E-04,1.44E-06
1.1,1.24E-04,1.66E-06
1.2,1.41E-04,1.65E-06
1.3,1.62E-04,1.85E-06
1.4,1.94E-04,1.88E-06
1.5,2.12E-04,2.18E-06
1.6,2.41E-04,2.26E-06
1.7,2.70E-04,2.55E-06
1.8,3.08E-04,2.41E-06
1.9,3.27E-04,2.65E-06
2,3.54E-04,2.80E-06
2.1,3.91E-04,2.48E-06
2.2,4.45E-04,2.66E-06
2.3,4.74E-04,2.66E-06
2.4,5.22E-04,3.27E-06
2.5,5.59E-04,2.97E-06
2.6,6.41E-04,3.16E-06
2.7,6.87E-04,3.55E-06
2.8,7.55E-04,3.02E-06
2.9,7.83E-04,3.37E-06
3,8.13E-04,3.76E-06
3.1,8.40E-04,3.48E-06
3.2,9.19E-04,3.71E-06
3.3,0.00101,3.75E-06
3.4,0.00109,3.78E-06
3.5,0.00113,3.69E-06
3.6,0.00117,3.95E-06
3.7,0.00127,4.25E-06
3.8,0.00138,4.35E-06
3.9,0.00153,3.67E-06
4,0.00158,4.07E-06
4.1,0.00164,4.08E-06
4.2,0.0017,4.09E-06
4.3,0.00182,4.79E-06
4.4,0.00194,4.35E-06
4.5,0.00207,4.59E-06
4.6,0.00223,4.82E-06
4.7,0.00238,4.67E-06
4.8,0.00258,4.52E-06
4.9,0.00278,4.75E-06
5,0.00303,5.28E-06
5.1,0.00327,5.74E-06
5.2,0.00349,5.60E-06
5.3,0.00368,5.65E-06
5.4,0.00382,5.65E-06
5.5,0.00396,5.95E-06
5.6,0.00414,6.20E-06
5.7,0.00437,6.34E-06
5.8,0.00463,6.01E-06
5.9,0.00487,6.22E-06
6,0.00507,5.97E-06
6.1,0.00527,6.49E-06
6.2,0.00546,6.77E-06
6.3,0.00566,6.74E-06
6.4,0.0058,6.60E-06
6.5,0.00586,7.07E-06
6.6,0.00591,6.89E-06
6.7,0.00591,6.65E-06
6.8,0.00591,7.24E-06
6.9,0.00586,7.12E-06
7,0.00574,6.33E-06
7.1,0.00569,6.74E-06
7.2,0.00555,6.98E-06
7.3,0.00543,6.35E-06
7.4,0.00528,6.32E-06
7.5,0.0053,6.25E-06
7.6,0.00522,6.33E-06
7.7,0.00519,6.48E-06
7.8,0.00511,6.75E-06
7.9,0.00505,6.51E-06
8,0.00497,6.17E-06
8.1,0.00487,7.09E-06
8.2,0.00483,6.96E-06
8.3,0.00475,5.74E-06
8.4,0.0047,6.49E-06
8.5,0.00461,6.77E-06
8.6,0.00455,5.94E-06
8.7,0.00444,5.75E-06
8.8,0.00434,6.61E-06
8.9,0.00423,6.71E-06
9,0.00415,5.65E-06
9.1,0.00408,5.53E-06
9.2,0.00402,5.94E-06
9.3,0.00388,6.47E-06
9.4,0.00374,6.73E-06
9.5,0.00364,6.36E-06
9.6,0.00366,5.37E-06
9.7,0.00364,5.15E-06
9.8,0.00357,5.13E-06
9.9,0.00347,5.18E-06
10,0.00339,5.45E-06
10.1,0.00336,5.84E-06
10.2,0.00333,6.38E-06
10.3,0.00331,6.62E-06
10.4,0.00328,6.82E-06
10.5,0.00323,5.85E-06
10.6482,0.00319,5.05E-06
10.7963,0.00312,5.54E-06
10.8977,0.0031,7.14E-06
11,0.00314,6.85E-06
11.1035,0.00313,7.12E-06
11.208,0.00311,6.82E-06
11.3137,0.00305,6.85E-06
11.4205,0.00302,6.38E-06
11.5284,0.00302,6.74E-06
11.6375,0.00299,7.05E-06
11.7478,0.00303,6.35E-06
11.8592,0.00302,6.54E-06
11.9719,0.00303,6.35E-06
12.0858,0.00295,6.21E-06
12.2009,0.00292,6.77E-06
12.3173,0.00285,6.42E-06
12.435,0.00282,6.59E-06
12.554,0.00273,6.02E-06
12.6743,0.00268,6.27E-06
12.7959,0.0026,5.64E-06
12.9189,0.00252,6.01E-06
13.0433,0.00245,6.12E-06
13.1691,0.00239,5.74E-06
13.2963,0.00234,5.97E-06
13.4249,0.00226,5.64E-06
13.555,0.00217,5.83E-06
13.6866,0.00218,5.54E-06
13.8197,0.00218,6.12E-06
13.9543,0.0022,5.59E-06
14.0905,0.00215,5.62E-06
14.2283,0.00214,5.81E-06
14.3677,0.00216,6.12E-06
14.5087,0.00217,6.01E-06
14.6513,0.00221,5.75E-06
14.7957,0.00219,5.83E-06
14.9417,0.00221,5.49E-06
15.0895,0.00219,5.71E-06
15.239,0.0022,5.70E-06
15.3904,0.00218,6.14E-06
15.5435,0.00219,5.90E-06
15.6985,0.00221,5.38E-06
15.8554,0.00225,6.06E-06
16.0142,0.00228,5.74E-06
16.175,0.00231,5.99E-06
16.3377,0.00236,5.93E-06
16.5024,0.00239,6.14E-06
16.6691,0.00239,5.93E-06
16.8379,0.00232,6.15E-06
17.0089,0.0023,6.22E-06
17.1819,0.00234,6.41E-06
17.3572,0.0024,6.30E-06
17.5346,0.00244,6.60E-06
17.7143,0.00241,6.21E-06
17.8963,0.00243,6.58E-06
18.0806,0.00239,6.47E-06
18.2673,0.00236,6.74E-06
18.4564,0.00234,6.52E-06
18.648,0.00234,6.47E-06
18.842,0.00235,6.49E-06
19.0386,0.00235,6.45E-06
19.2377,0.00233,6.85E-06
19.4395,0.00233,6.93E-06
19.644,0.00229,6.70E-06
19.8511,0.00226,6.78E-06
20.0611,0.0022,7.07E-06
20.2738,0.00218,6.87E-06
20.4895,0.00216,6.84E-06
20.708,0.00217,6.70E-06
20.9295,0.0021,6.95E-06
21.1541,0.00209,6.65E-06
21.3817,0.00206,6.96E-06
21.6125,0.00207,6.65E-06
21.8464,0.00204,6.52E-06
22.0836,0.00202,6.91E-06
22.3242,0.00199,6.93E-06
22.5681,0.00203,6.59E-06
22.8155,0.00207,6.88E-06
23.0663,0.00216,6.54E-06
23.3208,0.00222,6.43E-06
23.5789,0.00227,6.53E-06
23.8407,0.00231,6.09E-06
24.1062,0.00234,6.26E-06
24.3757,0.00237,6.47E-06
24.6491,0.0024,6.24E-06
24.9264,0.00244,6.19E-06
25.2079,0.00243,6.42E-06
25.4936,0.00247,5.96E-06
25.7834,0.00246,6.24E-06
26.0777,0.0025,6.29E-06
26.3763,0.00246,6.50E-06
26.6795,0.00248,6.19E-06
26.9873,0.00247,5.96E-06
27.2997,0.00242,5.80E-06
27.617,0.00239,5.90E-06
27.9391,0.00235,6.05E-06
28.2663,0.00236,5.99E-06
28.5985,0.00232,5.76E-06
28.936,0.0023,5.54E-06
29.2787,0.00227,5.45E-06
29.6269,0.00225,5.59E-06
29.9807,0.00222,5.82E-06
30.34,0.0022,5.98E-06
30.7052,0.0022,5.87E-06
31.0763,0.00223,5.66E-06
31.4534,0.0023,5.99E-06
31.8366,0.00232,6.03E-06
32.2262,0.00237,5.71E-06
32.6222,0.00235,5.80E-06
33.0248,0.00237,5.91E-06
33.4341,0.00236,5.75E-06
33.8503,0.00234,5.72E-06
34.2735,0.00236,6.17E-06
34.7039,0.0023,5.79E-06
35.1417,0.00226,5.76E-06
35.587,0.00219,5.61E-06
36.04,0.00215,5.75E-06
36.5008,0.00209,5.45E-06
36.9698,0.00204,5.64E-06
37.4469,0.00194,5.45E-06
37.9326,0.00187,5.02E-06
38.4268,0.00177,5.08E-06
38.9299,0.0017,5.00E-06
39.4421,0.00159,4.95E-06
39.9636,0.00149,4.92E-06
40.4945,0.0014,4.58E-06
41.0352,0.00134,4.51E-06
41.5859,0.00131,4.48E-06
42.1468,0.00126,4.37E-06
42.7182,0.00124,4.35E-06
43.3004,0.0012,4.24E-06
43.8935,0.00118,4.07E-06
44.498,0.00113,4.36E-06
45.114,0.00111,4.18E-06
45.7419,0.00109,4.33E-06
46.382,0.0011,4.15E-06
47.0346,0.00108,4.32E-06
47.7001,0.00108,4.40E-06
48.3787,0.00108,4.45E-06
49.0708,0.00109,4.19E-06
49.7768,0.00111,4.15E-06
50.4971,0.00113,4.28E-06
51.2321,0.00117,4.42E-06
51.982,0.00122,4.27E-06
52.7475,0.00129,4.75E-06
53.5288,0.00137,4.67E-06
54.3265,0.00146,4.78E-06
55.1409,0.00157,5.08E-06
55.9726,0.0017,4.91E-06
56.8221,0.00186,5.29E-06
57.6898,0.00204,5.56E-06
58.5763,0.00225,5.91E-06
59.4821,0.0025,6.24E-06
60.4079,0.00283,6.40E-06
61.3541,0.0032,7.13E-06
62.3215,0.00354,7.16E-06
63.3106,0.00393,7.45E-06
64.322,0.00431,7.75E-06
65.3565,0.0048,8.45E-06
66.4148,0.00522,8.60E-06
67.4976,0.00564,9.25E-06
68.6057,0.00609,9.45E-06
69.7399,0.00643,9.95E-06
70.9009,0.00678,1.02E-05
72.0897,0.00701,1.03E-05
73.3071,0.00712,1.08E-05
74.5541,0.00729,1.11E-05
75.8316,0.00741,1.12E-05
77.1406,0.00752,1.15E-05
78.4822,0.00758,1.17E-05
79.8575,0.00752,1.17E-05
81.2676,0.00752,1.20E-05
82.7137,0.00752,1.23E-05
84.197,0.00741,1.24E-05
85.7188,0.00741,1.28E-05
87.2805,0.00723,1.27E-05
88.8834,0.00712,1.27E-05
90.5291,0.00706,1.32E-05
92.219,0.00689,1.36E-05
93.9548,0.00678,1.37E-05
95.7382,0.0066,1.41E-05
97.5708,0.00643,1.43E-05
99.4545,0.00637,1.44E-05
101.391,0.0062,1.49E-05
103.383,0.00614,1.56E-05
105.432,0.00609,1.63E-05
107.541,0.00603,1.60E-05
109.711,0.0058,1.71E-05
111.945,0.00552,1.73E-05
114.246,0.00513,1.78E-05
116.616,0.00499,1.85E-05
119.058,0.00483,1.94E-05
121.576,0.00469,2.04E-05
124.171,0.00445,2.19E-05
126.848,0.00417,2.14E-05
129.61,0.00415,2.23E-05
132.461,0.00385,2.50E-05
135.404,0.00376,2.65E-05
138.444,0.00327,2.84E-05
141.584,0.00328,2.84E-05
144.83,0.00341,3.23E-05
148.185,0.00402,3.70E-05
