Energy Transfer (meV),Intensity,Error
0.0246224,0.000133969,4.37E-07
0.0378582,0.000270336,9.52E-07
0.0511639,0.000392592,1.55E-06
0.0645399,0.000481831,2.12E-06
0.0779879,0.000520589,2.61E-06
0.0915072,0.000504529,2.95E-06
0.105099,0.000445326,3.09E-06
0.118763,0.000360781,3.02E-06
0.132501,0.000272314,2.87E-06
0.146313,0.00019329,2.61E-06
0.1602,0.000132137,2.36E-06
0.174161,9.14E-05,2.22E-06
0.188198,6.85E-05,2.27E-06
0.202311,5.83E-05,2.48E-06
0.2165,5.34E-05,2.81E-06
0.230767,5.14E-05,2.89E-06
0.245111,5.29E-05,3.39E-06
0.259533,5.30E-05,3.52E-06
0.274035,5.59E-05,3.80E-06
0.288616,5.41E-05,4.09E-06
0.303276,5.72E-05,4.39E-06
0.318018,6.27E-05,4.61E-06
0.332841,6.50E-05,4.82E-06
0.347745,6.71E-05,5.66E-06
0.362732,6.47E-05,5.49E-06
0.377801,6.94E-05,5.90E-06
0.392956,7.12E-05,7.10E-06
0.408193,6.70E-05,6.85E-06
0.423516,7.05E-05,7.50E-06
0.438924,6.99E-05,7.00E-06
0.454418,7.62E-05,7.80E-06
0.469999,7.49E-05,8.98E-06
0.485668,8.29E-05,8.61E-06
0.501425,8.44E-05,8.88E-06
0.517269,8.47E-05,9.85E-06
0.533204,8.12E-05,1.05E-05
0.549228,9.13E-05,8.99E-06
0.565344,9.65E-05,1.03E-05
0.581551,0.000101099,1.12E-05
0.59785,0.000101311,1.12E-05
0.614242,0.000109087,1.15E-05
0.630728,0.000114835,1.14E-05
0.647309,0.000112905,1.29E-05
0.663982,0.000118482,1.36E-05
0.680753,0.000120281,1.33E-05
0.697619,0.00013423,1.42E-05
0.714583,0.000126076,1.41E-05
0.731646,0.000137568,1.53E-05
0.748806,0.000145096,1.48E-05
0.766066,0.000156077,1.54E-05
0.783427,0.000153883,1.57E-05
0.800887,0.000152471,1.69E-05
0.818452,0.000152116,1.88E-05
0.836117,0.000155364,1.75E-05
0.853886,0.000152543,1.81E-05
0.871758,0.000149793,2.08E-05
0.889736,0.000163945,1.92E-05
0.907821,0.000167428,1.91E-05
0.926012,0.000178094,2.07E-05
0.94431,0.000176875,2.12E-05
0.962717,0.000169914,2.07E-05
0.981231,0.000183957,2.17E-05
0.999858,0.000179168,2.03E-05
1.01859,0.000187431,2.29E-05
1.03744,0.000179702,2.41E-05
1.0564,0.000177957,2.28E-05
1.07548,0.000187024,2.40E-05
1.09467,0.000204567,2.31E-05
1.11397,0.000224692,2.55E-05
1.13339,0.000232236,2.55E-05
1.15293,0.00022001,2.50E-05
1.17259,0.000226817,2.66E-05
1.19237,0.000225867,2.53E-05
1.21226,0.000237497,2.60E-05
1.23228,0.000224028,2.58E-05
1.25242,0.00022423,2.81E-05
1.27268,0.000238594,2.81E-05
1.29307,0.000234026,2.77E-05
1.31358,0.000242574,3.08E-05
1.33422,0.000236567,3.11E-05
1.35498,0.000254218,3.01E-05
1.37588,0.000264755,3.03E-05
1.3969,0.000271409,3.18E-05
1.41805,0.000288765,2.98E-05
1.43934,0.000280743,3.11E-05
1.46075,0.000297562,3.14E-05
1.4823,0.000295883,3.34E-05
1.50399,0.0003005,3.21E-05
1.52581,0.0003042,3.40E-05
1.54777,0.000316598,3.20E-05
1.56987,0.000338986,3.34E-05
1.5921,0.000328019,3.51E-05
1.61448,0.000312513,3.39E-05
1.637,0.000287447,3.44E-05
1.65966,0.000283963,3.72E-05
1.68247,0.000321256,3.64E-05
1.70542,0.000337083,3.32E-05
1.72851,0.000356723,3.69E-05
1.75176,0.00035693,3.75E-05
1.77515,0.000394113,3.73E-05
1.7987,0.000393165,3.77E-05
1.82239,0.000379017,3.68E-05
1.84624,0.000365551,4.06E-05
1.87025,0.000388313,3.92E-05
1.89441,0.000402066,3.79E-05
1.91872,0.000401553,3.89E-05
1.9432,0.00041335,3.89E-05
1.96783,0.000410673,3.95E-05
1.99263,0.000458214,3.97E-05
2.01759,0.00042714,3.79E-05
2.04271,0.000450844,4.03E-05
2.068,0.000437179,4.03E-05
2.09345,0.000461241,4.02E-05
2.11907,0.000472305,4.35E-05
2.14486,0.000467266,4.26E-05
2.17083,0.000499738,4.22E-05
2.19697,0.000486144,4.04E-05
2.22327,0.000506206,4.35E-05
2.24976,0.000495969,4.17E-05
2.27643,0.000525988,4.29E-05
2.30327,0.000514704,4.19E-05
2.33029,0.000529867,4.21E-05
2.3575,0.00054028,4.21E-05
2.38489,0.000573746,4.07E-05
2.41247,0.000551117,4.24E-05
2.44023,0.000529524,4.32E-05
2.46818,0.000528002,4.43E-05
2.49632,0.000541041,4.26E-05
2.52466,0.000562869,4.54E-05
2.55319,0.00053958,4.44E-05
2.58192,0.000552277,4.53E-05
2.61084,0.000531003,4.58E-05
2.63996,0.000569444,4.54E-05
2.66929,0.000588354,4.19E-05
2.69881,0.000606178,4.56E-05
2.72855,0.000597525,4.57E-05
2.75849,0.000599292,4.68E-05
2.78864,0.000658396,4.52E-05
2.819,0.000631566,4.51E-05
2.84957,0.00066457,4.72E-05
2.88036,0.000606512,4.56E-05
2.91136,0.000662041,4.63E-05
2.94259,0.000656627,4.59E-05
2.97403,0.000670847,4.68E-05
3.0057,0.000654325,5.05E-05
3.0376,0.000659997,4.81E-05
3.06972,0.000701895,4.75E-05
3.10207,0.000742876,4.87E-05
3.13465,0.000754766,4.79E-05
3.16747,0.000745515,4.64E-05
3.20052,0.000723114,5.20E-05
3.23381,0.000718801,4.79E-05
3.26734,0.000764215,4.87E-05
3.30112,0.000772021,4.58E-05
3.33514,0.000779781,4.79E-05
3.36941,0.000769341,4.80E-05
3.40393,0.000794652,4.86E-05
3.4387,0.000819144,4.77E-05
3.47372,0.000827209,5.07E-05
3.50901,0.000820061,4.95E-05
3.54455,0.000853117,4.99E-05
3.58036,0.000862137,4.91E-05
3.61644,0.000898786,5.00E-05
3.65278,0.000890919,4.89E-05
3.68939,0.000898031,4.96E-05
3.72628,0.000867199,4.81E-05
3.76344,0.000837473,5.08E-05
3.80088,0.000826023,4.92E-05
3.8386,0.000885917,5.07E-05
3.87661,0.000914072,4.81E-05
3.9149,0.0009328,4.96E-05
3.95349,0.000938192,5.22E-05
3.99237,0.000969397,5.06E-05
4.03154,0.000964238,5.17E-05
4.07102,0.000951598,5.19E-05
4.11079,0.000926954,5.18E-05
4.15087,0.000977581,5.15E-05
4.19126,0.000984148,4.92E-05
4.23196,0.00102308,5.08E-05
4.27298,0.00102466,5.11E-05
4.31432,0.0010577,5.10E-05
4.35597,0.00106896,4.98E-05
4.39795,0.00107233,5.15E-05
4.44026,0.0010602,5.17E-05
4.4829,0.00105996,5.08E-05
4.52588,0.00107892,5.27E-05
4.5692,0.00113883,5.01E-05
4.61285,0.00116953,5.02E-05
4.65686,0.00118923,4.95E-05
4.70121,0.00117273,5.07E-05
4.74592,0.00118782,5.27E-05
4.79098,0.00118274,5.25E-05
4.8364,0.00119511,5.16E-05
4.88219,0.00119301,5.17E-05
4.92835,0.00122902,5.20E-05
4.97488,0.00126186,4.93E-05
5.02178,0.00129398,4.97E-05
5.06907,0.00130012,5.31E-05
5.11674,0.0012758,5.39E-05
5.1648,0.00127895,5.25E-05
5.21326,0.00129248,5.30E-05
5.26211,0.00132836,5.20E-05
5.31136,0.00133632,5.28E-05
5.36102,0.00133799,5.14E-05
5.41109,0.00139565,5.46E-05
5.46158,0.00139602,5.30E-05
5.51248,0.00141493,5.48E-05
