Energy Transfer (meV),Intensity
0.604,0
1.495,0.001
2.76,0.001
3.911,0.002
5.061,0.003
6.096,0.004
7.131,0.005
8.166,0.007
8.972,0.009
9.777,0.01
10.237,0.012
11.157,0.014
11.79,0.017
12.365,0.019
13.17,0.021
13.745,0.024
14.32,0.026
14.723,0.029
15.125,0.032
15.528,0.034
15.643,0.038
15.93,0.04
16.333,0.043
16.448,0.046
16.678,0.048
17.081,0.05
17.253,0.051
17.598,0.052
17.771,0.051
18.058,0.05
18.288,0.049
18.576,0.046
18.921,0.043
19.266,0.041
19.553,0.039
19.956,0.038
20.704,0.037
21.049,0.036
21.451,0.035
21.854,0.033
22.199,0.031
22.659,0.03
23.004,0.028
23.464,0.026
23.924,0.024
24.442,0.022
25.189,0.021
25.765,0.022
26.397,0.023
27.145,0.023
27.72,0.023
28.295,0.022
28.755,0.021
29.215,0.02
29.733,0.02
30.25,0.021
30.825,0.022
31.286,0.023
31.861,0.023
32.321,0.023
33.471,0.023
34.334,0.023
35.139,0.023
35.886,0.024
36.576,0.024
37.152,0.024
37.612,0.023
37.957,0.022
38.359,0.021
38.877,0.019
39.107,0.018
39.74,0.017
40.372,0.016
40.717,0.016
41.235,0.014
41.752,0.013
42.327,0.013
43.018,0.013
43.363,0.012
43.938,0.01
44.34,0.009
44.915,0.008
45.318,0.007
46.123,0.007
46.698,0.007
47.446,0.005
47.848,0.004
48.194,0.005
48.826,0.004
49.401,0.004
50.149,0.003
50.609,0.003
51.184,0.003
51.989,0.002
52.679,0.002
53.254,0.003
53.829,0.003
54.577,0.003
55.555,0.003
56.245,0.003
57.108,0.003
57.683,0.002
58.43,0.001
59.063,0.001
59.811,0.002
60.443,0.002
61.076,0.001
61.536,0.001
62.283,0.001
62.859,0.002
63.376,0.002
63.491,0.002
64.411,0.003
64.986,0.003
65.274,0.004
65.792,0.005
66.137,0.005
66.482,0.006
66.712,0.006
67.344,0.006
67.977,0.005
68.782,0.004
69.357,0.003
70.047,0.002
70.91,0.002
71.37,0.001
71.945,0.002
72.52,0.002
73.038,0.003
73.613,0.002
73.901,0.002
74.476,0.001
75.108,0.001
75.683,0.002
76.201,0.001
76.834,0.001
77.639,0.001
78.559,0.002
79.306,0.001
79.939,0.001
80.974,0.001
81.894,0.001
82.47,0.001
83.275,0.001
83.649,0.001
