Time (ps),Radius (nm)
0,3.14919
4,3.14893
8,3.14955
12,3.14868
16,3.14876
20,3.14943
24,3.14901
28,3.14883
32,3.14841
36,3.14823
40,3.14862
44,3.1482
48,3.14872
52,3.1487
56,3.14862
60,3.14837
64,3.14898
68,3.14854
72,3.14831
76,3.14824
80,3.14817
84,3.1489
88,3.14882
92,3.14874
96,3.14925
100,3.14885
104,3.14891
108,3.14882
112,3.14852
116,3.14853
120,3.14867
124,3.14856
128,3.14819
132,3.14845
136,3.1491
140,3.14855
144,3.14897
148,3.14925
152,3.14857
156,3.14889
160,3.14837
164,3.1489
168,3.14837
172,3.14829
176,3.14871
180,3.14845
184,3.14841
188,3.14845
192,3.14878
196,3.14846
200,3.14846
204,3.14897
208,3.14842
212,3.14869
216,3.14901
220,3.14805
224,3.14855
228,3.14823
232,3.148
236,3.1487
240,3.14809
244,3.14877
248,3.14855
252,3.1484
256,3.14865
260,3.14842
264,3.14863
268,3.14847
272,3.14846
276,3.14882
280,3.14873
284,3.1489
288,3.1489
292,3.14899
296,3.14842
300,3.14849
304,3.14871
308,3.14861
312,3.14851
316,3.14827
320,3.1491
324,3.14899
328,3.14838
332,3.14868
336,3.14859
340,3.14861
344,3.14876
348,3.14867
352,3.14884
356,3.14861
360,3.14884
364,3.14892
368,3.14865
372,3.14846
376,3.14859
380,3.14868
384,3.14834
388,3.14855
392,3.14871
396,3.14871
400,3.14882
404,3.14879
408,3.14828
412,3.14908
416,3.14845
420,3.14829
424,3.14891
428,3.14881
432,3.14904
436,3.14912
440,3.1485
444,3.14916
448,3.14884
452,3.14823
456,3.14888
460,3.14871
464,3.14856
468,3.14903
472,3.14839
476,3.14822
480,3.14847
484,3.14841
488,3.14917
492,3.14861
496,3.14865
500,3.14918
504,3.14867
508,3.14865
512,3.14831
516,3.149
520,3.14925
524,3.14838
528,3.14939
532,3.14949
536,3.14818
540,3.14884
544,3.14862
548,3.14821
552,3.14873
556,3.14847
560,3.14835
564,3.14868
568,3.14804
572,3.14885
576,3.14888
580,3.14848
584,3.14876
588,3.14866
592,3.14859
596,3.14874
600,3.14864
604,3.14851
608,3.14868
612,3.14884
616,3.14881
620,3.14928
624,3.14892
628,3.14863
632,3.14923
636,3.14853
640,3.14821
644,3.14871
648,3.14867
652,3.14884
656,3.1486
660,3.14874
664,3.14888
668,3.1489
672,3.14882
676,3.14899
680,3.14818
684,3.14838
688,3.1483
692,3.1491
696,3.14905
700,3.1482
704,3.1491
708,3.14859
712,3.14832
716,3.14903
720,3.14857
724,3.14846
728,3.14877
732,3.14847
736,3.14863
740,3.14889
744,3.14858
748,3.14878
752,3.14907
756,3.14846
760,3.14899
764,3.14815
768,3.14853
772,3.14854
776,3.14777
780,3.14873
784,3.14881
788,3.14771
792,3.14869
796,3.14812
800,3.14824
804,3.14879
808,3.14815
812,3.14876
816,3.14815
820,3.14791
824,3.14852
828,3.14865
832,3.14863
836,3.14911
840,3.14846
844,3.14771
848,3.14845
852,3.1478
856,3.14845
860,3.14912
864,3.1485
868,3.14895
872,3.14891
876,3.14837
880,3.14892
884,3.14848
888,3.1487
892,3.14872
896,3.14802
900,3.14879
904,3.14887
908,3.14901
912,3.14909
916,3.14892
920,3.14894
924,3.1486
928,3.149
932,3.14857
936,3.1486
940,3.14881
944,3.14878
948,3.14885
952,3.14885
956,3.14877
960,3.14852
964,3.14826
968,3.14817
972,3.14859
976,3.14883
980,3.14867
984,3.14883
988,3.14898
992,3.14905
996,3.14888
1000,3.14849
1004,3.14936
1008,3.14807
1012,3.14842
1016,3.14844
1020,3.14845
1024,3.14889
1028,3.14874
1032,3.14881
1036,3.14914
1040,3.14837
1044,3.14855
1048,3.14849
1052,3.14857
1056,3.14861
1060,3.14854
1064,3.14864
1068,3.14892
1072,3.14854
1076,3.14831
1080,3.14875
1084,3.14846
1088,3.14893
1092,3.14864
1096,3.14844
1100,3.14891
1104,3.14839
1108,3.14827
1112,3.14953
1116,3.14855
1120,3.14851
1124,3.14909
1128,3.14873
1132,3.14943
1136,3.1496
1140,3.14909
1144,3.14945
1148,3.14898
1152,3.14899
1156,3.14915
1160,3.14876
1164,3.14862
1168,3.14881
1172,3.14792
1176,3.14895
1180,3.14834
1184,3.14869
1188,3.14891
1192,3.14857
1196,3.14856
1200,3.14879
1204,3.14823
1208,3.14862
1212,3.14873
1216,3.14831
1220,3.14862
1224,3.14819
1228,3.14851
1232,3.14885
1236,3.14861
1240,3.1486
1244,3.14903
1248,3.14876
1252,3.14896
1256,3.14847
1260,3.14922
1264,3.14889
1268,3.14883
1272,3.14911
1276,3.14838
1280,3.14893
1284,3.14856
1288,3.14841
1292,3.14891
1296,3.14872
1300,3.14839
1304,3.14902
1308,3.14839
1312,3.14814
1316,3.149
1320,3.14909
1324,3.1492
1328,3.14878
1332,3.14853
1336,3.14888
1340,3.1486
1344,3.14866
1348,3.14882
1352,3.14916
1356,3.14869
1360,3.14895
1364,3.14914
1368,3.14906
1372,3.1492
1376,3.14857
1380,3.14882
1384,3.14874
1388,3.14821
1392,3.14888
1396,3.14882
1400,3.14846
1404,3.14868
1408,3.14807
1412,3.14855
1416,3.14883
1420,3.1487
1424,3.14885
1428,3.14884
1432,3.14862
1436,3.14881
1440,3.1484
1444,3.14841
1448,3.14834
1452,3.14834
1456,3.14843
1460,3.14826
1464,3.14889
1468,3.14848
1472,3.14908
1476,3.14904
1480,3.14794
1484,3.1485
1488,3.1484
1492,3.14842
1496,3.14881
1500,3.14869
1504,3.14833
1508,3.14863
1512,3.14859
1516,3.14849
1520,3.14864
1524,3.14879
1528,3.14902
1532,3.14892
1536,3.14917
1540,3.14856
1544,3.14867
1548,3.14878
1552,3.14832
1556,3.14884
1560,3.14891
1564,3.14879
1568,3.14894
1572,3.14886
1576,3.14876
1580,3.14803
1584,3.14803
1588,3.14805
1592,3.14827
1596,3.14827
1600,3.14838
1604,3.14835
1608,3.14872
1612,3.14815
1616,3.14867
1620,3.14872
1624,3.14854
1628,3.14865
1632,3.14853
1636,3.14901
1640,3.14868
1644,3.14875
1648,3.14893
1652,3.14843
1656,3.14869
1660,3.14863
1664,3.1486
1668,3.14859
1672,3.14834
1676,3.149
1680,3.14859
1684,3.1479
1688,3.14878
1692,3.1483
1696,3.14841
1700,3.14883
1704,3.1483
1708,3.14895
1712,3.14892
1716,3.14863
1720,3.14857
1724,3.14867
1728,3.14884
1732,3.14864
1736,3.14836
1740,3.14865
1744,3.14836
1748,3.14775
1752,3.14875
1756,3.14856
1760,3.1487
1764,3.14875
1768,3.1482
1772,3.14848
1776,3.14821
1780,3.14844
1784,3.14872
1788,3.14851
1792,3.1487
1796,3.14855
1800,3.14865
1804,3.1491
1808,3.14893
1812,3.14865
1816,3.14876
1820,3.14869
1824,3.14893
1828,3.14873
1832,3.14885
1836,3.14919
1840,3.14846
1844,3.14878
1848,3.14899
1852,3.14801
1856,3.14817
1860,3.14833
1864,3.14825
1868,3.14836
1872,3.1483
1876,3.14847
1880,3.14862
1884,3.14827
1888,3.14896
1892,3.14863
1896,3.14858
1900,3.14913
1904,3.1489
1908,3.1489
1912,3.14901
1916,3.14797
1920,3.14827
1924,3.14801
1928,3.14773
1932,3.14903
1936,3.14841
1940,3.14826
1944,3.14884
1948,3.1484
1952,3.14883
1956,3.14881
1960,3.14822
1964,3.14936
1968,3.14909
1972,3.14909
1976,3.14913
1980,3.14877
1984,3.14892
1988,3.14885
1992,3.14861
1996,3.14857
2000,3.14831
2004,3.14857
2008,3.14874
2012,3.14842
2016,3.1484
2020,3.14845
2024,3.14856
2028,3.1491
2032,3.14871
2036,3.1487
2040,3.14855
2044,3.1488
2048,3.1488
2052,3.14889
2056,3.14864
2060,3.14896
2064,3.14921
2068,3.14879
2072,3.14909
2076,3.14868
2080,3.14843
2084,3.14877
2088,3.14894
2092,3.14882
2096,3.14894
2100,3.14875
2104,3.14867
2108,3.14821
2112,3.14858
2116,3.14828
2120,3.14832
2124,3.14846
2128,3.14842
2132,3.14878
2136,3.14865
2140,3.14877
2144,3.14914
2148,3.14847
2152,3.14907
2156,3.14889
2160,3.14851
2164,3.14898
2168,3.14862
2172,3.14862
2176,3.14887
2180,3.14819
2184,3.14876
2188,3.14833
2192,3.14878
2196,3.14941
2200,3.14877
2204,3.14878
2208,3.1487
2212,3.14819
2216,3.14869
2220,3.14862
2224,3.14876
2228,3.14931
2232,3.14868
2236,3.14885
2240,3.14886
2244,3.14809
2248,3.14871
2252,3.14845
2256,3.14812
2260,3.1486
2264,3.14834
2268,3.14824
2272,3.14865
2276,3.14886
2280,3.1488
2284,3.14882
2288,3.14863
2292,3.14895
2296,3.14894
2300,3.1483
2304,3.14824
2308,3.14817
2312,3.14833
2316,3.14872
2320,3.14876
2324,3.14908
2328,3.14918
2332,3.14884
2336,3.14916
2340,3.14859
2344,3.14854
2348,3.14904
2352,3.1484
2356,3.14867
2360,3.14874
2364,3.14848
2368,3.14889
2372,3.14881
2376,3.1484
2380,3.14851
2384,3.14856
2388,3.14852
2392,3.14899
2396,3.1488
2400,3.1492
2404,3.14877
2408,3.14856
2412,3.1489
2416,3.14835
2420,3.14848
2424,3.14866
2428,3.14841
2432,3.14859
2436,3.14813
2440,3.14881
2444,3.14926
2448,3.14837
2452,3.1489
2456,3.14866
2460,3.14863
2464,3.14881
2468,3.14842
2472,3.14925
2476,3.14913
2480,3.14858
2484,3.1491
2488,3.14915
2492,3.1487
2496,3.14863
2500,3.14874
