Time (ps),Radius (nm)
0,1.56556
0.5,1.56514
1,1.56504
1.5,1.56571
2,1.56549
2.5,1.56497
3,1.56539
3.5,1.56596
4,1.56516
4.5,1.56447
5,1.56515
5.5,1.56576
6,1.56441
6.5,1.56526
7,1.56634
7.5,1.56453
8,1.56511
8.5,1.5658
9,1.56482
9.5,1.56541
10,1.56565
10.5,1.56475
11,1.56545
11.5,1.56602
12,1.56481
12.5,1.56546
13,1.56606
13.5,1.56491
14,1.56556
14.5,1.56554
15,1.56552
15.5,1.56559
16,1.56577
16.5,1.5655
17,1.56503
17.5,1.56573
18,1.5657
18.5,1.56521
19,1.56538
19.5,1.56559
20,1.56525
20.5,1.56569
21,1.56562
21.5,1.56539
22,1.56517
22.5,1.56595
23,1.56527
23.5,1.5652
24,1.56586
24.5,1.56517
25,1.56521
25.5,1.56621
26,1.56552
26.5,1.56484
27,1.56587
27.5,1.5658
28,1.56454
28.5,1.5659
29,1.56598
29.5,1.56459
30,1.56537
30.5,1.56606
31,1.56513
31.5,1.56529
32,1.56555
32.5,1.56551
33,1.56523
33.5,1.56553
34,1.56572
34.5,1.56556
35,1.56511
35.5,1.56569
36,1.56551
36.5,1.56541
37,1.56524
37.5,1.56594
38,1.56552
38.5,1.56493
39,1.5658
39.5,1.56558
40,1.56462
40.5,1.56572
41,1.56577
41.5,1.56465
42,1.56526
42.5,1.56608
43,1.56546
43.5,1.56516
44,1.56563
44.5,1.56573
45,1.56494
45.5,1.56582
46,1.56588
46.5,1.56515
47,1.56544
47.5,1.56548
48,1.56558
48.5,1.56573
49,1.56551
49.5,1.56538
50,1.56538
50.5,1.56568
51,1.56582
51.5,1.56537
52,1.56555
52.5,1.56557
53,1.56547
53.5,1.56547
54,1.56576
54.5,1.56535
55,1.56525
55.5,1.56601
56,1.56543
56.5,1.56552
57,1.56584
57.5,1.56494
58,1.56565
58.5,1.56573
59,1.56552
59.5,1.5651
60,1.56568
60.5,1.56531
61,1.56564
61.5,1.5656
62,1.56552
62.5,1.5653
63,1.56584
63.5,1.56545
64,1.5651
64.5,1.56576
65,1.56556
65.5,1.56537
66,1.56523
66.5,1.56555
67,1.56582
67.5,1.56557
68,1.56521
68.5,1.56549
69,1.56531
69.5,1.56551
70,1.56577
70.5,1.56544
71,1.56547
71.5,1.56549
72,1.56521
72.5,1.56574
73,1.56588
73.5,1.56534
74,1.56531
74.5,1.56545
75,1.5651
75.5,1.56523
76,1.56612
76.5,1.56542
77,1.56538
77.5,1.56569
78,1.56558
78.5,1.56554
79,1.56521
79.5,1.56581
80,1.56595
80.5,1.56488
81,1.56552
81.5,1.56619
82,1.56502
82.5,1.56526
83,1.56618
83.5,1.5649
84,1.56512
84.5,1.56658
85,1.56517
85.5,1.56493
86,1.5663
86.5,1.56551
87,1.56514
87.5,1.56567
88,1.56563
88.5,1.56502
89,1.5654
89.5,1.56616
90,1.56509
90.5,1.56484
91,1.56562
91.5,1.566
92,1.56535
92.5,1.56513
93,1.56606
93.5,1.56523
94,1.56503
94.5,1.56624
95,1.56556
95.5,1.56477
96,1.56611
96.5,1.56538
97,1.56487
97.5,1.56574
98,1.5657
98.5,1.56456
99,1.56594
99.5,1.56554
100,1.56518
100.5,1.56556
101,1.56597
101.5,1.56519
102,1.56514
102.5,1.5658
103,1.56536
103.5,1.56583
104,1.56535
104.5,1.56519
105,1.56532
105.5,1.56536
106,1.56546
106.5,1.56558
107,1.56544
107.5,1.56535
108,1.56605
108.5,1.56565
109,1.56518
109.5,1.56561
110,1.56567
110.5,1.56535
111,1.56561
111.5,1.56554
112,1.56518
112.5,1.56579
113,1.56548
113.5,1.56543
114,1.56562
114.5,1.56554
115,1.56552
115.5,1.56545
116,1.56606
116.5,1.56538
117,1.565
117.5,1.56579
118,1.56586
118.5,1.56545
119,1.56557
119.5,1.56567
120,1.56576
120.5,1.56561
121,1.56534
121.5,1.56574
122,1.56556
122.5,1.56476
123,1.56567
123.5,1.5664
124,1.5653
124.5,1.56552
125,1.5659
125.5,1.56488
126,1.56542
126.5,1.56583
127,1.5649
127.5,1.56532
128,1.56575
128.5,1.56511
129,1.56583
129.5,1.56563
130,1.56573
130.5,1.56592
131,1.56502
131.5,1.56603
132,1.56559
132.5,1.56464
133,1.56579
133.5,1.56608
134,1.56471
134.5,1.56571
135,1.56629
135.5,1.56519
136,1.56565
136.5,1.56551
137,1.5652
137.5,1.56558
138,1.56536
138.5,1.56556
139,1.56547
139.5,1.56579
140,1.56524
140.5,1.56564
141,1.56574
141.5,1.56528
142,1.56539
142.5,1.56527
143,1.56546
143.5,1.56543
144,1.56539
144.5,1.56543
145,1.56573
145.5,1.56548
146,1.56508
146.5,1.56575
147,1.56567
147.5,1.56565
148,1.56524
148.5,1.56544
149,1.56575
149.5,1.56534
150,1.56533
150.5,1.56563
151,1.56517
151.5,1.56552
152,1.5656
152.5,1.56557
153,1.56557
153.5,1.56552
154,1.56564
154.5,1.56531
155,1.56544
155.5,1.56545
156,1.56558
156.5,1.56523
157,1.56559
157.5,1.56542
158,1.56499
158.5,1.56567
159,1.56571
159.5,1.56528
160,1.566
160.5,1.56531
161,1.56485
161.5,1.56565
162,1.56601
162.5,1.56537
163,1.56496
163.5,1.56578
164,1.5656
164.5,1.56514
165,1.56594
165.5,1.56561
166,1.56499
166.5,1.56559
167,1.56586
167.5,1.56496
168,1.56547
168.5,1.56545
169,1.56555
169.5,1.56542
170,1.56557
170.5,1.56543
171,1.56489
171.5,1.56565
172,1.56589
172.5,1.56487
173,1.56574
173.5,1.56548
174,1.5653
174.5,1.56538
175,1.56576
175.5,1.56538
176,1.56511
176.5,1.56579
177,1.56602
177.5,1.5649
178,1.56542
178.5,1.56601
179,1.56495
179.5,1.56554
180,1.56589
180.5,1.56505
181,1.56526
181.5,1.56587
182,1.56522
182.5,1.56508
183,1.56563
183.5,1.5655
