Time (ps),Radius (nm)
0,1.56556
1,1.56504
2,1.56549
3,1.56539
4,1.56516
5,1.56515
6,1.56441
7,1.56634
8,1.56511
9,1.56482
10,1.56565
11,1.56545
12,1.56481
13,1.56606
14,1.56556
15,1.56552
16,1.56577
17,1.56503
18,1.5657
19,1.56538
20,1.56525
21,1.56562
22,1.56517
23,1.56527
24,1.56586
25,1.56521
26,1.56552
27,1.56587
28,1.56454
29,1.56598
30,1.56537
31,1.56513
32,1.56555
33,1.56523
34,1.56572
35,1.56511
36,1.56551
37,1.56524
38,1.56552
39,1.5658
40,1.56462
41,1.56577
42,1.56526
43,1.56546
44,1.56563
45,1.56494
46,1.56588
47,1.56544
48,1.56558
49,1.56551
50,1.56538
51,1.56582
52,1.56555
53,1.56547
54,1.56576
55,1.56525
56,1.56543
57,1.56584
58,1.56565
59,1.56552
60,1.56568
61,1.56564
62,1.56552
63,1.56584
64,1.5651
65,1.56556
66,1.56523
67,1.56582
68,1.56521
69,1.56531
70,1.56577
71,1.56547
72,1.56521
73,1.56588
74,1.56531
75,1.5651
76,1.56612
77,1.56538
78,1.56558
79,1.56521
80,1.56595
81,1.56552
82,1.56502
83,1.56618
84,1.56512
85,1.56517
86,1.5663
87,1.56514
88,1.56563
89,1.5654
90,1.56509
91,1.56562
92,1.56535
93,1.56606
94,1.56503
95,1.56556
96,1.56611
97,1.56487
98,1.5657
99,1.56594
100,1.56518
101,1.56597
102,1.56514
103,1.56536
104,1.56535
105,1.56532
106,1.56546
107,1.56544
108,1.56605
109,1.56518
110,1.56567
111,1.56561
112,1.56518
113,1.56548
114,1.56562
115,1.56552
116,1.56606
117,1.565
118,1.56586
119,1.56557
120,1.56576
121,1.56534
122,1.56556
123,1.56567
124,1.5653
125,1.5659
126,1.56542
127,1.5649
128,1.56575
129,1.56583
130,1.56573
131,1.56502
132,1.56559
133,1.56579
134,1.56471
135,1.56629
136,1.56565
137,1.5652
138,1.56536
139,1.56547
140,1.56524
141,1.56574
142,1.56539
143,1.56546
144,1.56539
145,1.56573
146,1.56508
147,1.56567
148,1.56524
149,1.56575
150,1.56533
151,1.56517
152,1.5656
153,1.56557
154,1.56564
155,1.56544
156,1.56558
157,1.56559
158,1.56499
159,1.56571
160,1.566
161,1.56485
162,1.56601
163,1.56496
164,1.5656
165,1.56594
166,1.56499
167,1.56586
168,1.56547
169,1.56555
170,1.56557
171,1.56489
172,1.56589
173,1.56574
174,1.5653
175,1.56576
176,1.56511
177,1.56602
178,1.56542
179,1.56495
180,1.56589
181,1.56526
182,1.56522
183,1.56563
184,1.56562
185,1.56528
186,1.5654
187,1.56554
188,1.56519
189,1.56572
190,1.565
191,1.56578
192,1.56542
193,1.56594
194,1.56534
195,1.56499
196,1.56602
197,1.56558
198,1.56513
199,1.56597
200,1.56584
201,1.56481
202,1.56552
203,1.56586
204,1.56514
205,1.56533
206,1.56624
207,1.565
208,1.56514
209,1.56621
210,1.5652
211,1.56538
212,1.56605
213,1.56517
214,1.56588
215,1.5653
216,1.56558
217,1.56564
218,1.56508
219,1.56533
220,1.56582
221,1.56499
222,1.56602
223,1.56509
224,1.56502
225,1.56614
226,1.56531
227,1.5655
228,1.56567
229,1.56526
230,1.56579
231,1.56512
232,1.5656
233,1.5657
234,1.56539
235,1.565
236,1.5658
237,1.56589
238,1.56499
239,1.56635
240,1.5652
241,1.56526
242,1.56553
243,1.56545
244,1.56564
245,1.56515
246,1.56571
247,1.56524
248,1.56573
249,1.56541
250,1.56559
251,1.56566
252,1.56463
253,1.56611
254,1.56557
255,1.56525
256,1.56584
257,1.56524
258,1.56603
259,1.56549
260,1.56543
261,1.56554
262,1.56564
263,1.56553
264,1.56508
265,1.5659
266,1.56517
267,1.56541
268,1.56577
269,1.56508
270,1.56537
271,1.56547
272,1.56571
273,1.56518
274,1.56542
275,1.56557
276,1.56556
277,1.5653
278,1.56588
279,1.56545
280,1.56536
281,1.56591
282,1.56507
283,1.56547
284,1.56538
285,1.5652
286,1.56568
287,1.5653
288,1.56547
289,1.56634
290,1.56486
291,1.56554
292,1.56568
293,1.56532
294,1.56548
295,1.56531
296,1.5652
297,1.5657
298,1.56539
299,1.56516
300,1.56577
301,1.56535
302,1.56518
303,1.56573
304,1.56559
305,1.56505
306,1.56467
307,1.56598
308,1.56519
309,1.56553
310,1.56544
311,1.56539
312,1.56534
313,1.56541
314,1.5655
315,1.56579
316,1.56567
317,1.56517
318,1.56635
319,1.56471
320,1.56559
321,1.56535
322,1.56533
323,1.56579
324,1.56541
325,1.56524
326,1.56554
327,1.5652
328,1.56563
329,1.56513
330,1.56514
331,1.56589
332,1.5654
333,1.56517
334,1.56558
335,1.56527
336,1.56525
337,1.56567
338,1.56514
339,1.56545
340,1.56574
341,1.56539
342,1.56554
343,1.56544
344,1.56521
345,1.5657
346,1.56571
347,1.56534
348,1.56541
349,1.5655
350,1.5656
351,1.5654
352,1.56524
353,1.56615
354,1.56516
355,1.56571
356,1.56573
357,1.56486
358,1.56586
359,1.56567
360,1.56533
361,1.56553
362,1.56547
363,1.56565
364,1.56532
365,1.56552
366,1.56556
367,1.56546
368,1.56554
369,1.5653
370,1.56578
371,1.56526
372,1.56557
373,1.56513
374,1.56551
375,1.56579
376,1.56494
377,1.56565
378,1.56524
379,1.56558
380,1.56534
381,1.5655
382,1.56557
383,1.5653
384,1.56565
385,1.56533
386,1.56555
387,1.56585
388,1.56555
389,1.56522
390,1.56525
391,1.56505
392,1.56517
393,1.56539
394,1.56502
395,1.56494
396,1.56507
397,1.56557
398,1.56503
399,1.56537
400,1.56527
401,1.56522
402,1.56513
403,1.56484
404,1.56522
405,1.56496
406,1.5655
407,1.56474
408,1.56504
409,1.56536
410,1.5648
411,1.56535
412,1.56517
413,1.56557
414,1.56507
415,1.5652
416,1.56532
417,1.56449
418,1.56575
419,1.5652
420,1.56495
421,1.56565
422,1.56546
423,1.56515
424,1.56546
425,1.56523
426,1.56517
427,1.56547
428,1.56479
429,1.56537
430,1.56493
431,1.56515
432,1.56562
433,1.56492
434,1.565
435,1.56513
436,1.56534
437,1.56522
438,1.56469
439,1.5654
440,1.56524
441,1.56561
442,1.56538
443,1.56534
444,1.56499
445,1.56551
446,1.56506
447,1.56495
448,1.56518
449,1.5654
450,1.5651
451,1.56484
452,1.5653
453,1.56488
454,1.56574
455,1.56522
456,1.56526
457,1.56519
458,1.56518
459,1.56511
460,1.56461
461,1.56546
462,1.56573
463,1.56472
464,1.56497
465,1.56569
466,1.56485
467,1.56526
468,1.56547
469,1.56461
470,1.56551
471,1.56511
472,1.56497
473,1.56529
474,1.56489
475,1.56569
476,1.56521
477,1.565
478,1.56558
479,1.56482
480,1.56534
481,1.56504
482,1.56535
483,1.56504
484,1.56479
485,1.56576
486,1.56554
487,1.56556
488,1.56557
489,1.56508
490,1.56507
491,1.56523
492,1.56551
493,1.56506
494,1.56568
495,1.56517
496,1.565
497,1.56543
498,1.56508
499,1.56555
500,1.56523
501,1.56523
502,1.56551
503,1.5651
504,1.56545
505,1.56543
506,1.56483
507,1.56605
508,1.56544
509,1.56523
510,1.56528
511,1.56473
512,1.56553
513,1.56516
514,1.56474
515,1.56527
516,1.56464
517,1.56497
518,1.56512
519,1.56492
520,1.56568
521,1.56493
522,1.56496
523,1.56525
524,1.565
525,1.56536
526,1.56525
527,1.56486
528,1.56543
529,1.56488
530,1.56508
531,1.56558
532,1.56506
533,1.56484
534,1.56515
535,1.56525
536,1.56506
537,1.56506
538,1.56506
539,1.5651
540,1.56539
541,1.56496
542,1.56492
543,1.56508
544,1.56482
545,1.56506
546,1.56501
547,1.56542
548,1.56576
549,1.56481
550,1.56531
551,1.56521
552,1.56469
553,1.56544
554,1.56487
555,1.56517
556,1.56521
557,1.56485
558,1.56532
559,1.56526
560,1.56521
561,1.56507
562,1.56487
563,1.5655
564,1.56509
565,1.56464
566,1.56549
567,1.56482
568,1.56533
569,1.56528
570,1.56487
571,1.56523
572,1.56484
573,1.56549
574,1.56568
575,1.5646
576,1.56556
577,1.56492
578,1.56548
579,1.56501
580,1.5652
581,1.5654
582,1.56497
583,1.565
584,1.56524
585,1.56526
586,1.56438
587,1.56537
588,1.56553
589,1.56457
590,1.5648
591,1.56501
592,1.56533
593,1.56436
594,1.56503
595,1.56485
596,1.56463
597,1.56501
598,1.56472
599,1.56482
600,1.56478
601,1.56494
602,1.56467
603,1.56489
604,1.5654
605,1.56454
606,1.56503
607,1.56468
608,1.56457
609,1.56539
610,1.5647
611,1.56467
