Time (ps),Radius (nm)
0,1.56464
1,1.56502
2,1.56485
3,1.56452
4,1.56517
5,1.56473
6,1.56482
7,1.5647
8,1.56509
9,1.56517
10,1.56446
11,1.56522
12,1.56483
13,1.56457
14,1.5654
15,1.56485
16,1.56496
17,1.56509
18,1.56524
19,1.56469
20,1.56539
21,1.56537
22,1.56469
23,1.56509
24,1.56516
25,1.56487
26,1.56532
27,1.56514
28,1.56461
29,1.56567
30,1.56453
31,1.56548
32,1.56571
33,1.56466
34,1.56559
35,1.56501
36,1.5652
37,1.56522
38,1.56495
39,1.56518
40,1.56501
41,1.56488
42,1.5647
43,1.56546
44,1.56474
45,1.56487
46,1.56532
47,1.56486
48,1.56534
49,1.56495
50,1.56479
51,1.56531
52,1.56471
53,1.56485
54,1.56546
55,1.56417
56,1.56538
57,1.56498
58,1.56475
59,1.56524
60,1.56521
61,1.56518
62,1.56499
63,1.56506
64,1.56483
65,1.56535
66,1.5646
67,1.56525
68,1.5651
69,1.56466
70,1.56486
71,1.56527
72,1.56463
73,1.56539
74,1.56572
75,1.56438
76,1.56537
77,1.56519
78,1.56503
79,1.56538
80,1.56483
81,1.56521
82,1.56539
83,1.56514
84,1.56545
85,1.5656
86,1.56542
87,1.56529
88,1.5653
89,1.56552
90,1.56558
91,1.56531
92,1.56531
93,1.56506
94,1.5654
95,1.56538
96,1.56546
97,1.56523
98,1.56545
99,1.56522
100,1.56531
101,1.56542
102,1.56513
103,1.56532
104,1.56552
105,1.56516
106,1.56535
107,1.56513
108,1.56543
109,1.5654
110,1.56555
111,1.56523
112,1.56505
113,1.56533
114,1.56523
115,1.56511
116,1.56565
117,1.56534
118,1.56525
119,1.56555
120,1.56515
121,1.56488
122,1.56532
123,1.56554
124,1.56538
125,1.56532
126,1.56515
127,1.56542
128,1.56522
129,1.56514
130,1.56547
131,1.56572
132,1.56495
133,1.56547
134,1.56538
135,1.56513
136,1.56536
137,1.56535
138,1.56551
139,1.56479
140,1.56533
141,1.56526
142,1.56493
143,1.56518
144,1.56522
145,1.5647
146,1.56554
147,1.56495
