#  Timestep    No_Moles    No_Specs          C2
          1           1           1           1
#  Timestep    No_Moles    No_Specs          C2
          2           1           1           1
#  Timestep    No_Moles    No_Specs          C2
          3           1           1           1
#  Timestep    No_Moles    No_Specs          C2
          4           1           1           1
#  Timestep    No_Moles    No_Specs          C2
          5           1           1           1
#  Timestep    No_Moles    No_Specs          C2
          6           1           1           1
#  Timestep    No_Moles    No_Specs          C2
          7           1           1           1
#  Timestep    No_Moles    No_Specs          C2
          8           1           1           1
#  Timestep    No_Moles    No_Specs          C2
          9           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         10           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         11           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         12           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         13           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         14           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         15           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         16           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         17           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         18           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         19           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         20           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         21           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         22           1           1           1
#  Timestep    No_Moles    No_Specs          C2
         23           1           1           1
#  Timestep    No_Moles    No_Specs           C
         24           2           1           2
#  Timestep    No_Moles    No_Specs           C
         25           2           1           2
#  Timestep    No_Moles    No_Specs           C
         26           2           1           2
#  Timestep    No_Moles    No_Specs           C
         27           2           1           2
#  Timestep    No_Moles    No_Specs           C
         28           2           1           2
#  Timestep    No_Moles    No_Specs           C
         29           2           1           2
#  Timestep    No_Moles    No_Specs           C
         30           2           1           2
#  Timestep    No_Moles    No_Specs           C
         31           2           1           2
#  Timestep    No_Moles    No_Specs           C
         32           2           1           2
#  Timestep    No_Moles    No_Specs           C
         33           2           1           2
