Time (ps),Radius (nm)
0,1.58169
4,1.58204
8,1.58153
12,1.5815
16,1.58196
20,1.58139
24,1.58212
28,1.58131
32,1.582
36,1.58168
40,1.58192
44,1.58196
48,1.58162
52,1.58208
56,1.58133
60,1.58175
64,1.58141
68,1.58153
72,1.58187
76,1.58125
80,1.5817
84,1.58162
88,1.58221
92,1.58204
96,1.58195
100,1.58203
104,1.58187
108,1.58209
112,1.5828
116,1.58349
120,1.58271
124,1.58206
128,1.58316
132,1.58377
136,1.58253
140,1.58305
144,1.58286
148,1.58312
152,1.58394
156,1.58312
160,1.58319
164,1.58322
168,1.58302
172,1.58293
176,1.58262
180,1.58268
184,1.58232
188,1.58265
192,1.583
196,1.58297
200,1.58209
204,1.58293
208,1.5829
212,1.58252
216,1.58299
220,1.58412
224,1.58335
228,1.58299
232,1.58326
236,1.58425
240,1.5841
244,1.58242
248,1.58355
252,1.58382
256,1.58276
260,1.58371
264,1.58363
268,1.58278
272,1.58221
276,1.58371
280,1.58303
284,1.58235
288,1.58334
292,1.58313
296,1.58344
300,1.58368
304,1.58323
308,1.58256
312,1.58364
316,1.5829
320,1.58232
324,1.58316
328,1.58344
332,1.58255
336,1.58377
340,1.58331
344,1.58355
348,1.58337
352,1.5829
356,1.58368
360,1.58347
364,1.58352
368,1.58356
372,1.58283
376,1.58376
380,1.58307
384,1.58382
388,1.58292
392,1.58309
396,1.58313
400,1.58401
404,1.58333
408,1.58338
412,1.58321
416,1.58308
420,1.58347
424,1.5836
428,1.5843
432,1.58217
436,1.58403
440,1.58343
444,1.58313
448,1.58362
452,1.58367
456,1.58345
460,1.58304
464,1.58299
468,1.58373
472,1.58334
476,1.58323
480,1.58339
484,1.58355
488,1.58441
492,1.58372
496,1.58346
500,1.58245
504,1.58415
508,1.58347
512,1.58344
516,1.58342
520,1.58373
524,1.58321
528,1.58416
532,1.58351
536,1.58259
540,1.58353
544,1.58299
548,1.58368
552,1.58223
556,1.58344
560,1.58265
564,1.58356
568,1.58351
572,1.58302
576,1.58252
580,1.5831
584,1.5842
588,1.58273
592,1.58363
596,1.58238
600,1.58355
604,1.58351
608,1.58305
612,1.58341
616,1.58379
620,1.58317
624,1.58355
628,1.58305
632,1.58299
636,1.58342
640,1.58269
644,1.58319
648,1.58316
652,1.58375
656,1.58377
660,1.58367
664,1.58275
668,1.58271
672,1.58332
676,1.58363
680,1.58353
684,1.58314
688,1.58363
692,1.58387
696,1.58343
700,1.5833
704,1.58284
708,1.58401
712,1.58367
716,1.5827
720,1.58322
724,1.58411
728,1.58372
732,1.58355
736,1.58391
740,1.58431
744,1.58287
748,1.58301
752,1.58342
756,1.5836
760,1.58412
764,1.58287
768,1.58291
772,1.58332
776,1.58394
780,1.58317
784,1.58363
788,1.58352
792,1.5837
796,1.58304
800,1.58349
804,1.58403
808,1.58273
812,1.58419
816,1.58308
820,1.58316
824,1.58367
828,1.58377
832,1.58311
836,1.58317
840,1.58393
844,1.58315
848,1.58353
852,1.58346
856,1.58337
860,1.58385
864,1.58338
868,1.58341
872,1.58363
876,1.58206
880,1.58214
884,1.58355
888,1.58385
892,1.58325
896,1.58349
900,1.58367
904,1.58329
908,1.58348
912,1.58327
916,1.58332
920,1.58366
924,1.5834
928,1.58327
932,1.58291
936,1.584
940,1.58297
944,1.58357
948,1.58384
952,1.58422
956,1.58325
960,1.58454
964,1.58277
968,1.58384
972,1.58327
976,1.58346
980,1.58376
984,1.58372
988,1.58379
992,1.58407
996,1.58325
1000,1.58249
1004,1.58307
1008,1.58349
1012,1.58374
1016,1.58335
1020,1.5839
1024,1.58296
1028,1.58334
1032,1.58386
1036,1.5831
1040,1.58288
1044,1.58288
1048,1.58373
1052,1.58348
1056,1.58324
1060,1.58347
1064,1.58379
1068,1.58356
1072,1.58404
1076,1.58344
1080,1.58263
1084,1.58359
1088,1.58375
