Energy (meV),Resolution
100,16.932
99.8,16.883
99.6,16.834
99.4,16.785
99.2,16.736
99,16.687
98.8,16.639
98.6,16.59
98.4,16.541
98.2,16.492
98,16.444
97.8,16.395
97.6,16.346
97.4,16.298
97.2,16.249
97,16.201
96.8,16.153
96.6,16.104
96.4,16.056
96.2,16.008
96,15.96
95.8,15.911
95.6,15.863
95.4,15.815
95.2,15.767
95,15.719
94.8,15.672
94.6,15.624
94.4,15.576
94.2,15.528
94,15.48
93.8,15.433
93.6,15.385
93.4,15.338
93.2,15.29
93,15.243
92.8,15.195
92.6,15.148
92.4,15.101
92.2,15.053
92,15.006
91.8,14.959
91.6,14.912
91.4,14.865
91.2,14.818
91,14.771
90.8,14.724
90.6,14.677
90.4,14.63
90.2,14.583
90,14.537
89.8,14.49
89.6,14.443
89.4,14.397
89.2,14.35
89,14.304
88.8,14.258
88.6,14.211
88.4,14.165
88.2,14.119
88,14.072
87.8,14.026
87.6,13.98
87.4,13.934
87.2,13.888
87,13.842
86.8,13.796
86.6,13.75
86.4,13.704
86.2,13.659
86,13.613
85.8,13.567
85.6,13.522
85.4,13.476
85.2,13.431
85,13.385
84.8,13.34
84.6,13.294
84.4,13.249
84.2,13.204
84,13.159
83.8,13.113
83.6,13.068
83.4,13.023
83.2,12.978
83,12.933
82.8,12.888
82.6,12.844
82.4,12.799
82.2,12.754
82,12.709
81.8,12.665
81.6,12.62
81.4,12.576
81.2,12.531
81,12.487
80.8,12.442
80.6,12.398
80.4,12.354
80.2,12.31
80,12.265
79.8,12.221
79.6,12.177
79.4,12.133
79.2,12.089
79,12.045
78.8,12.002
78.6,11.958
78.4,11.914
78.2,11.87
78,11.827
77.8,11.783
77.6,11.74
77.4,11.696
77.2,11.653
77,11.609
76.8,11.566
76.6,11.523
76.4,11.48
76.2,11.436
76,11.393
75.8,11.35
75.6,11.307
75.4,11.264
75.2,11.221
75,11.179
74.8,11.136
74.6,11.093
74.4,11.05
74.2,11.008
74,10.965
73.8,10.923
73.6,10.88
73.4,10.838
73.2,10.796
73,10.753
72.8,10.711
72.6,10.669
72.4,10.627
72.2,10.585
72,10.543
71.8,10.501
71.6,10.459
71.4,10.417
71.2,10.375
71,10.334
70.8,10.292
70.6,10.25
70.4,10.209
70.2,10.167
70,10.126
69.8,10.084
69.6,10.043
69.4,10.002
69.2,9.96
69,9.919
68.8,9.878
68.6,9.837
68.4,9.796
68.2,9.755
68,9.714
67.8,9.673
67.6,9.633
67.4,9.592
67.2,9.551
67,9.511
66.8,9.47
66.6,9.43
66.4,9.389
66.2,9.349
66,9.309
65.8,9.268
65.6,9.228
65.4,9.188
65.2,9.148
65,9.108
64.8,9.068
64.6,9.028
64.4,8.988
64.2,8.948
64,8.909
63.8,8.869
63.6,8.829
63.4,8.79
63.2,8.75
63,8.711
62.8,8.671
62.6,8.632
62.4,8.593
62.2,8.554
62,8.514
61.8,8.475
61.6,8.436
61.4,8.397
61.2,8.358
61,8.32
60.8,8.281
60.6,8.242
60.4,8.203
60.2,8.165
60,8.126
59.8,8.088
59.6,8.049
59.4,8.011
59.2,7.973
59,7.934
58.8,7.896
58.6,7.858
58.4,7.82
58.2,7.782
58,7.744
57.8,7.706
57.6,7.668
57.4,7.631
57.2,7.593
57,7.555
56.8,7.518
56.6,7.48
56.4,7.443
56.2,7.405
56,7.368
