E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
0,1.5757,0,1.5757
1.33426,1.61096,0.035337,1.57563
2.66851,1.69155,0.116155,1.5754
4.00277,1.68574,0.110719,1.57502
5.33703,1.72219,0.147701,1.57449
6.67128,1.77854,0.20474,1.5738
8.00554,1.95404,0.381066,1.57297
9.33979,1.92614,0.354151,1.57199
10.6741,2.69283,1.12198,1.57085
12.0083,2.5163,0.946737,1.56957
13.3426,2.68499,1.11686,1.56814
14.6768,2.70565,1.1391,1.56656
16.0111,3.02488,1.46005,1.56483
17.3453,3.58654,2.02359,1.56296
18.6796,3.7852,2.22426,1.56094
20.0138,5.01916,3.46038,1.55878
21.3481,6.24265,4.68617,1.55648
22.6824,7.31039,5.75635,1.55403
24.0166,7.79416,6.24271,1.55145
25.3509,10.5288,8.98006,1.54873
26.6851,8.71919,7.17332,1.54587
28.0194,10.7133,9.17048,1.54287
29.3536,11.5509,10.0111,1.53974
30.6879,12.2953,10.7588,1.53648
32.0222,13.164,11.6309,1.53309
33.3564,13.1382,11.6087,1.52958
34.6907,13.9153,12.3894,1.52593
36.0249,13.4792,11.9571,1.52216
37.3592,15.3955,13.8773,1.51827
38.6934,15.4035,13.8893,1.51426
40.0277,13.8359,12.3258,1.51012
41.3619,15.9251,14.4192,1.50588
42.6962,15.6042,14.1027,1.50151
44.0305,15.7822,14.2852,1.49704
45.3647,13.7856,12.2931,1.49246
46.699,14.635,13.1472,1.48777
48.0332,16.379,14.896,1.48297
49.3675,15.8458,14.3677,1.47807
50.7017,15.4652,13.9921,1.47307
52.036,15.8764,14.4084,1.46797
53.3703,15.4116,13.9488,1.46277
54.7045,16.0771,14.6196,1.45749
56.0388,16.9019,15.4498,1.45211
57.373,16.1062,14.6596,1.44664
58.7073,13.4997,12.0586,1.44109
60.0415,13.9844,12.5489,1.43545
61.3758,13.5696,12.1399,1.42973
62.71,13.7342,12.3102,1.42393
64.0443,14.0902,12.6722,1.41806
65.3786,13.8656,12.4534,1.41211
66.7128,13.8979,12.4918,1.40609
68.0471,13.7353,12.3353,1.4
69.3813,13.613,12.2191,1.39385
70.7156,12.1342,10.7466,1.38763
72.0498,11.8274,10.446,1.38135
73.3841,12.6834,11.3084,1.37501
74.7184,10.7613,9.39267,1.36861
76.0526,10.8574,9.49526,1.36216
77.3869,10.3057,8.95008,1.35566
78.7211,10.6177,9.26864,1.34911
80.0554,10.6325,9.28998,1.34251
81.3896,10.0819,8.746,1.33586
82.7239,10.0843,8.75514,1.32917
84.0582,9.5353,8.21285,1.32245
85.3924,10.2173,8.90161,1.31568
86.7267,10.8527,9.5438,1.30888
