Time (ns),non-Water after lsq fit to non-Water
0.0000000,0.0000000
0.0000050,0.0017799
0.0000100,0.0034704
0.0000150,0.0050382
0.0000200,0.0064450
0.0000250,0.0076797
0.0000300,0.0087689
0.0000350,0.0097400
0.0000400,0.0106358
0.0000450,0.0114792
0.0000500,0.0122717
0.0000550,0.0130055
0.0000600,0.0136585
0.0000650,0.0142233
0.0000700,0.0147004
0.0000750,0.0151086
0.0000800,0.0154848
0.0000850,0.0158580
0.0000900,0.0162509
0.0000950,0.0166626
0.0001000,0.0585956
0.0001050,0.0587233
0.0001100,0.0588460
0.0001150,0.0589601
0.0001200,0.0590652
0.0001250,0.0591654
0.0001300,0.0592673
0.0001350,0.0593747
0.0001400,0.0594904
0.0001450,0.0596122
0.0001500,0.0597366
0.0001550,0.0598601
0.0001600,0.0599786
0.0001650,0.0600929
0.0001700,0.0602036
0.0001750,0.0603126
0.0001800,0.0604209
0.0001850,0.0605259
0.0001900,0.0606255
0.0001950,0.0607150
0.0002000,0.0604572
0.0002050,0.0605210
0.0002100,0.0605790
0.0002150,0.0606371
0.0002200,0.0606999
0.0002250,0.0607722
0.0002300,0.0608554
0.0002350,0.0609462
0.0002400,0.0610413
0.0002450,0.0611349
0.0002500,0.0612233
0.0002550,0.0613043
0.0002600,0.0613776
0.0002650,0.0614462
0.0002700,0.0615105
0.0002750,0.0615715
0.0002800,0.0616287
0.0002850,0.0616805
0.0002900,0.0617269
0.0002950,0.0617668
0.0003000,0.0834558
0.0003050,0.0835002
0.0003100,0.0835463
0.0003150,0.0835954
0.0003200,0.0836466
0.0003250,0.0836992
0.0003300,0.0837507
0.0003350,0.0837990
0.0003400,0.0838434
0.0003450,0.0838835
0.0003500,0.0839205
0.0003550,0.0839555
0.0003600,0.0839884
0.0003650,0.0840191
0.0003700,0.0840458
0.0003750,0.0840676
0.0003800,0.0840827
0.0003850,0.0840902
0.0003900,0.0840909
0.0003950,0.0840859
0.0004000,0.0621900
0.0004050,0.0622008
0.0004100,0.0622144
0.0004150,0.0622310
0.0004200,0.0622493
0.0004250,0.0622697
0.0004300,0.0622913
0.0004350,0.0623140
0.0004400,0.0623385
0.0004450,0.0623640
0.0004500,0.0623913
0.0004550,0.0624199
0.0004600,0.0624498
0.0004650,0.0624801
0.0004700,0.0625081
0.0004750,0.0625317
0.0004800,0.0625477
0.0004850,0.0625551
0.0004900,0.0625542
0.0004950,0.0625464
0.0005000,0.0972202
0.0005050,0.0972265
0.0005100,0.0972338
0.0005150,0.0972414
0.0005200,0.0972476
0.0005250,0.0972510
0.0005300,0.0972504
0.0005350,0.0972464
0.0005400,0.0972404
0.0005450,0.0972340
0.0005500,0.0972295
0.0005550,0.0972281
0.0005600,0.0972303
0.0005650,0.0972354
0.0005700,0.0972417
0.0005750,0.0972481
0.0005800,0.0972537
0.0005850,0.0972585
0.0005900,0.0972630
0.0005950,0.0972681
0.0006000,0.0624750
0.0006050,0.0624667
0.0006100,0.0624610
0.0006150,0.0624559
0.0006200,0.0624482
0.0006250,0.0624368
0.0006300,0.0624212
0.0006350,0.0624035
0.0006400,0.0623850
0.0006450,0.0623665
0.0006500,0.0623491
0.0006550,0.0623322
0.0006600,0.0623156
0.0006650,0.0622973
0.0006700,0.0622755
0.0006750,0.0622501
0.0006800,0.0622209
0.0006850,0.0621910
0.0006900,0.0621633
0.0006950,0.0621394
0.0007000,0.0621975
0.0007050,0.0621620
0.0007100,0.0621307
0.0007150,0.0621035
0.0007200,0.0620798
0.0007250,0.0620599
0.0007300,0.0620423
0.0007350,0.0620256
0.0007400,0.0620070
0.0007450,0.0619849
0.0007500,0.0619592
0.0007550,0.0619290
0.0007600,0.0618956
0.0007650,0.0618598
0.0007700,0.0618239
0.0007750,0.0617902
0.0007800,0.0617585
0.0007850,0.0617290
0.0007900,0.0617006
0.0007950,0.0616729
0.0008000,0.0250392
0.0008050,0.0249617
0.0008100,0.0248818
0.0008150,0.0248023
0.0008200,0.0247266
0.0008250,0.0246561
0.0008300,0.0245893
0.0008350,0.0245268
0.0008400,0.0244651
0.0008450,0.0244033
0.0008500,0.0243413
0.0008550,0.0242795
0.0008600,0.0242226
0.0008650,0.0241707
0.0008700,0.0241225
0.0008750,0.0240757
0.0008800,0.0240266
0.0008850,0.0239744
0.0008900,0.0239160
0.0008950,0.0238530
0.0009000,0.0829675
0.0009050,0.0829566
0.0009100,0.0829493
0.0009150,0.0829459
0.0009200,0.0829465
0.0009250,0.0829503
0.0009300,0.0829561
0.0009350,0.0829632
0.0009400,0.0829699
0.0009450,0.0829753
0.0009500,0.0829787
0.0009550,0.0829798
0.0009600,0.0829794
0.0009650,0.0829771
0.0009700,0.0829726
0.0009750,0.0829654
0.0009800,0.0829552
0.0009850,0.0829424
0.0009900,0.0829276
0.0009950,0.0829124
0.0010000,0.0231288
0.0010050,0.0231235
0.0010100,0.0231237
0.0010150,0.0231279
0.0010200,0.0231359
0.0010250,0.0231442
0.0010300,0.0231493
0.0010350,0.0231504
0.0010400,0.0231470
0.0010450,0.0231431
0.0010500,0.0231421
0.0010550,0.0231469
0.0010600,0.0231598
0.0010650,0.0231786
0.0010700,0.0232004
0.0010750,0.0232199
0.0010800,0.0232341
0.0010850,0.0232453
0.0010900,0.0232562
0.0010950,0.0232709
0.0011000,0.0609462
0.0011050,0.0609601
0.0011100,0.0609761
0.0011150,0.0609922
0.0011200,0.0610077
0.0011250,0.0610224
0.0011300,0.0610378
0.0011350,0.0610549
0.0011400,0.0610730
0.0011450,0.0610923
0.0011500,0.0611117
0.0011550,0.0611297
0.0011600,0.0611448
0.0011650,0.0611554
0.0011700,0.0611628
0.0011750,0.0611684
0.0011800,0.0611741
0.0011850,0.0611820
0.0011900,0.0611933
0.0011950,0.0612092
0.0012000,0.0236174
0.0012050,0.0236346
0.0012100,0.0236469
0.0012150,0.0236526
0.0012200,0.0236538
0.0012250,0.0236523
0.0012300,0.0236516
0.0012350,0.0236543
0.0012400,0.0236603
0.0012450,0.0236687
0.0012500,0.0236742
0.0012550,0.0236747
0.0012600,0.0236706
0.0012650,0.0236635
0.0012700,0.0236579
0.0012750,0.0236576
0.0012800,0.0236665
0.0012850,0.0236841
0.0012900,0.0237064
0.0012950,0.0237295
0.0013000,0.0609900
0.0013050,0.0610097
0.0013100,0.0610209
0.0013150,0.0610233
0.0013200,0.0610237
0.0013250,0.0610297
0.0013300,0.0610459
0.0013350,0.0610707
0.0013400,0.0610994
0.0013450,0.0611276
0.0013500,0.0611515
0.0013550,0.0611697
0.0013600,0.0611820
0.0013650,0.0611918
0.0013700,0.0612047
0.0013750,0.0612249
0.0013800,0.0612525
0.0013850,0.0612805
0.0013900,0.0612998
0.0013950,0.0613058
0.0014000,0.0830083
0.0014050,0.0829971
0.0014100,0.0829898
0.0014150,0.0829871
0.0014200,0.0829892
0.0014250,0.0829954
0.0014300,0.0830048
0.0014350,0.0830166
0.0014400,0.0830314
0.0014450,0.0830498
0.0014500,0.0830709
0.0014550,0.0830943
0.0014600,0.0831192
0.0014650,0.0831449
0.0014700,0.0831704
0.0014750,0.0831941
0.0014800,0.0832159
0.0014850,0.0832351
0.0014900,0.0832520
0.0014950,0.0832664
0.0015000,0.0244690
0.0015050,0.0244794
0.0015100,0.0244913
0.0015150,0.0245013
0.0015200,0.0245064
0.0015250,0.0245054
0.0015300,0.0245000
0.0015350,0.0244914
0.0015400,0.0244832
0.0015450,0.0244787
0.0015500,0.0244792
0.0015550,0.0244847
0.0015600,0.0244924
0.0015650,0.0245016
0.0015700,0.0245115
0.0015750,0.0245216
0.0015800,0.0245335
0.0015850,0.0245468
0.0015900,0.0245637
0.0015950,0.0245833
0.0016000,0.0246031
0.0016050,0.0246233
0.0016100,0.0246418
0.0016150,0.0246595
0.0016200,0.0246766
0.0016250,0.0246935
0.0016300,0.0247107
