Time (ns),Water after lsq fit to Water
0.0000000,0.0000000
0.0000050,0.0039717
0.0000100,0.0075143
0.0000150,0.0106705
0.0000200,0.0136276
0.0000250,0.0164213
0.0000300,0.0189087
0.0000350,0.0210462
0.0000400,0.0229750
0.0000450,0.0248531
0.0000500,0.0266889
0.0000550,0.0284487
0.0000600,0.0301785
0.0000650,0.0319161
0.0000700,0.0335986
0.0000750,0.0351845
0.0000800,0.0367147
0.0000850,0.0382213
0.0000900,0.0396606
0.0000950,0.0410090
0.0001000,0.3409889
0.0001050,0.3410773
0.0001100,0.3411750
0.0001150,0.3412776
0.0001200,0.3413869
0.0001250,0.3415037
0.0001300,0.3416235
0.0001350,0.3417447
0.0001400,0.3418733
0.0001450,0.3420134
0.0001500,0.3421622
0.0001550,0.3423166
0.0001600,0.3424787
0.0001650,0.3426493
0.0001700,0.3428227
0.0001750,0.3429958
0.0001800,0.3431716
0.0001850,0.3433526
0.0001900,0.3435358
0.0001950,0.3437175
0.0002000,0.4818542
0.0002050,0.4819594
0.0002100,0.4820687
0.0002150,0.4821784
0.0002200,0.4822917
0.0002250,0.4824163
0.0002300,0.4825540
0.0002350,0.4827016
0.0002400,0.4828571
0.0002450,0.4830213
0.0002500,0.4831917
0.0002550,0.4833655
0.0002600,0.4835422
0.0002650,0.4837202
0.0002700,0.4838963
0.0002750,0.4840659
0.0002800,0.4842266
0.0002850,0.4843806
0.0002900,0.4845244
0.0002950,0.4846487
0.0003000,0.4839002
0.0003050,0.4839728
0.0003100,0.4840296
0.0003150,0.4840724
0.0003200,0.4841064
0.0003250,0.4841350
0.0003300,0.4841594
0.0003350,0.4841841
0.0003400,0.4842138
0.0003450,0.4842508
0.0003500,0.4842968
0.0003550,0.4843548
0.0003600,0.4844281
0.0003650,0.4845182
0.0003700,0.4846237
0.0003750,0.4847402
0.0003800,0.4848623
0.0003850,0.4849847
0.0003900,0.4851003
0.0003950,0.4852056
0.0004000,0.3475607
0.0004050,0.3476444
0.0004100,0.3477183
0.0004150,0.3477838
0.0004200,0.3478433
0.0004250,0.3479015
0.0004300,0.3479592
0.0004350,0.3480142
0.0004400,0.3480650
0.0004450,0.3481134
0.0004500,0.3481584
0.0004550,0.3481959
0.0004600,0.3482217
0.0004650,0.3482341
0.0004700,0.3482287
0.0004750,0.3482029
0.0004800,0.3481603
0.0004850,0.3481134
0.0004900,0.3480719
0.0004950,0.3480408
0.0005000,0.4203393
0.0005050,0.4203482
0.0005100,0.4203725
0.0005150,0.4204108
0.0005200,0.4204591
0.0005250,0.4205161
0.0005300,0.4205818
0.0005350,0.4206562
0.0005400,0.4207427
0.0005450,0.4208483
0.0005500,0.4209748
0.0005550,0.4211203
0.0005600,0.4212802
0.0005650,0.4214501
0.0005700,0.4216243
0.0005750,0.4217976
0.0005800,0.4219649
0.0005850,0.4221257
0.0005900,0.4222775
0.0005950,0.4224177
0.0006000,0.3485047
0.0006050,0.3485092
0.0006100,0.3485125
0.0006150,0.3485118
0.0006200,0.3485036
0.0006250,0.3484885
0.0006300,0.3484677
0.0006350,0.3484454
0.0006400,0.3484261
0.0006450,0.3484154
0.0006500,0.3484146
0.0006550,0.3484260
0.0006600,0.3484530
0.0006650,0.3484996
0.0006700,0.3485627
0.0006750,0.3486363
0.0006800,0.3487184
0.0006850,0.3488118
0.0006900,0.3489153
0.0006950,0.3490279
0.0007000,0.2545316
0.0007050,0.2546663
0.0007100,0.2548090
0.0007150,0.2549582
0.0007200,0.2551135
0.0007250,0.2552760
0.0007300,0.2554409
0.0007350,0.2556014
0.0007400,0.2557537
0.0007450,0.2558967
0.0007500,0.2560256
0.0007550,0.2561347
0.0007600,0.2562222
0.0007650,0.2562913
0.0007700,0.2563476
0.0007750,0.2563976
0.0007800,0.2564491
0.0007850,0.2565101
0.0007900,0.2565810
0.0007950,0.2566579
0.0008000,0.4231235
0.0008050,0.4231368
0.0008100,0.4231558
0.0008150,0.4231798
0.0008200,0.4232138
0.0008250,0.4232597
0.0008300,0.4233106
0.0008350,0.4233609
0.0008400,0.4234068
0.0008450,0.4234461
0.0008500,0.4234782
0.0008550,0.4235043
0.0008600,0.4235268
0.0008650,0.4235487
0.0008700,0.4235739
0.0008750,0.4236102
0.0008800,0.4236642
0.0008850,0.4237378
0.0008900,0.4238293
0.0008950,0.4239363
0.0009000,0.4241215
0.0009050,0.4241445
0.0009100,0.4241632
0.0009150,0.4241771
0.0009200,0.4241866
0.0009250,0.4241919
0.0009300,0.4241908
0.0009350,0.4241807
0.0009400,0.4241591
0.0009450,0.4241250
0.0009500,0.4240798
0.0009550,0.4240274
0.0009600,0.4239739
0.0009650,0.4239269
0.0009700,0.4238902
0.0009750,0.4238664
0.0009800,0.4238566
0.0009850,0.4238563
0.0009900,0.4238563
0.0009950,0.4238519
0.0010000,0.5891940
0.0010050,0.5890870
0.0010100,0.5889704
0.0010150,0.5888505
0.0010200,0.5887365
0.0010250,0.5886355
0.0010300,0.5885495
0.0010350,0.5884782
0.0010400,0.5884217
0.0010450,0.5883790
0.0010500,0.5883485
0.0010550,0.5883306
0.0010600,0.5883259
0.0010650,0.5883340
0.0010700,0.5883543
0.0010750,0.5883861
0.0010800,0.5884258
0.0010850,0.5884660
0.0010900,0.5885005
0.0010950,0.5885232
0.0011000,0.5395868
0.0011050,0.5395735
0.0011100,0.5395596
0.0011150,0.5395506
0.0011200,0.5395522
0.0011250,0.5395663
0.0011300,0.5395938
0.0011350,0.5396327
0.0011400,0.5396786
0.0011450,0.5397265
0.0011500,0.5397751
0.0011550,0.5398233
0.0011600,0.5398703
0.0011650,0.5399166
0.0011700,0.5399649
0.0011750,0.5400154
0.0011800,0.5400669
0.0011850,0.5401168
0.0011900,0.5401656
0.0011950,0.5402153
0.0012000,0.4831951
0.0012050,0.4831408
0.0012100,0.4831079
0.0012150,0.4830954
0.0012200,0.4830997
0.0012250,0.4831151
0.0012300,0.4831419
0.0012350,0.4831849
0.0012400,0.4832481
0.0012450,0.4833338
0.0012500,0.4834448
0.0012550,0.4835798
0.0012600,0.4837336
0.0012650,0.4838955
0.0012700,0.4840558
0.0012750,0.4842069
0.0012800,0.4843449
0.0012850,0.4844672
0.0012900,0.4845761
0.0012950,0.4846754
0.0013000,0.4211372
0.0013050,0.4212358
0.0013100,0.4213300
0.0013150,0.4214180
0.0013200,0.4214967
0.0013250,0.4215615
0.0013300,0.4216158
0.0013350,0.4216640
0.0013400,0.4217065
0.0013450,0.4217410
0.0013500,0.4217654
0.0013550,0.4217796
0.0013600,0.4217851
0.0013650,0.4217824
0.0013700,0.4217768
0.0013750,0.4217748
0.0013800,0.4217812
0.0013850,0.4217984
0.0013900,0.4218284
0.0013950,0.4218699
0.0014000,0.4851496
0.0014050,0.4851759
0.0014100,0.4852258
0.0014150,0.4852971
0.0014200,0.4853853
0.0014250,0.4854863
0.0014300,0.4855991
0.0014350,0.4857214
0.0014400,0.4858493
0.0014450,0.4859778
0.0014500,0.4861000
0.0014550,0.4862104
0.0014600,0.4863096
0.0014650,0.4863989
0.0014700,0.4864822
0.0014750,0.4865631
0.0014800,0.4866424
0.0014850,0.4867175
0.0014900,0.4867885
0.0014950,0.4868558
0.0015000,0.4216495
0.0015050,0.4216994
0.0015100,0.4217478
0.0015150,0.4217989
0.0015200,0.4218566
0.0015250,0.4219196
0.0015300,0.4219877
0.0015350,0.4220620
0.0015400,0.4221420
0.0015450,0.4222263
0.0015500,0.4223151
0.0015550,0.4224096
0.0015600,0.4225117
0.0015650,0.4226207
0.0015700,0.4227361
0.0015750,0.4228551
0.0015800,0.4229706
0.0015850,0.4230728
0.0015900,0.4231573
0.0015950,0.4232266
0.0016000,0.4869183
0.0016050,0.4868813
0.0016100,0.4868520
0.0016150,0.4868343
0.0016200,0.4868336
0.0016250,0.4868563
0.0016300,0.4869042
0.0016350,0.4869752
0.0016400,0.4870640
0.0016450,0.4871630
0.0016500,0.4872629
0.0016550,0.4873591
0.0016600,0.4874508
0.0016650,0.4875376
0.0016700,0.4876200
0.0016750,0.4877012
0.0016800,0.4877848
0.0016850,0.4878730
0.0016900,0.4879653
0.0016950,0.4880644
0.0017000,0.4243398
0.0017050,0.4244890
0.0017100,0.4246498
0.0017150,0.4248200
0.0017200,0.4249979
0.0017250,0.4251807
0.0017300,0.4253648
0.0017350,0.4255494
0.0017400,0.4257350
0.0017450,0.4259215
0.0017500,0.4261024
0.0017550,0.4262719
0.0017600,0.4264265
0.0017650,0.4265631
0.0017700,0.4266782
0.0017750,0.4267702
0.0017800,0.4268422
0.0017850,0.4268991
0.0017900,0.4269426
0.0017950,0.4269720
0.0018000,0.3535348
0.0018050,0.3535951
0.0018100,0.3536590
0.0018150,0.3537191
