E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
0,12.285,0,12.285
1.33426,12.6984,0.414061,12.2843
2.66851,12.9993,0.717102,12.2822
4.00277,13.3571,1.07837,12.2788
5.33703,13.6191,1.34518,12.2739
6.67128,14.1024,1.83464,12.2677
8.00554,14.7712,2.51102,12.2602
9.33979,15.5908,3.33955,12.2512
10.6741,19.1704,6.92946,12.2409
12.0083,19.5396,7.31034,12.2293
13.3426,19.0769,6.86058,12.2163
14.6768,24.1752,11.9732,12.2019
16.0111,23.8305,11.6442,12.1863
17.3453,29.7699,17.6006,12.1693
18.6796,33.8523,21.7013,12.151
20.0138,36.2307,24.0992,12.1315
21.3481,44.9562,32.8456,12.1106
22.6824,50.5257,38.4372,12.0885
24.0166,55.3869,43.3218,12.0651
25.3509,61.3656,49.3251,12.0405
26.6851,69.3,57.2853,12.0147
28.0194,74.6684,62.6808,11.9876
29.3536,93.8915,81.9321,11.9594
30.6879,96.9359,85.0059,11.93
32.0222,93.1754,81.276,11.8995
33.3564,92.8589,80.9911,11.8678
34.6907,98.8736,87.0386,11.835
36.0249,103.326,91.5253,11.8011
37.3592,99.368,87.6019,11.7661
38.6934,98.5572,86.8271,11.7301
40.0277,91.702,80.0089,11.6931
41.3619,83.3969,71.7419,11.655
42.6962,88.9119,77.296,11.6159
44.0305,82.7469,71.171,11.5759
45.3647,85.3,73.7651,11.535
46.699,82.9957,71.5026,11.4931
48.0332,80.9904,69.5401,11.4503
49.3675,83.6605,72.2539,11.4066
50.7017,76.6291,65.267,11.3621
52.036,76.6046,65.2878,11.3168
53.3703,76.1238,64.8532,11.2707
54.7045,73.8047,62.581,11.2238
56.0388,75.1366,63.9605,11.1761
57.373,73.4482,62.3205,11.1277
58.7073,75.0624,63.9838,11.0786
60.0415,70.6526,59.6238,11.0288
61.3758,71.6222,60.6439,10.9783
62.71,69.7074,58.7801,10.9273
64.0443,75.066,64.1905,10.8756
65.3786,73.3167,62.4934,10.8233
66.7128,76.3535,65.5831,10.7705
68.0471,75.6954,64.9783,10.7171
69.3813,74.33,63.6668,10.6632
70.7156,71.3457,60.7369,10.6088
72.0498,72.9413,62.3873,10.5539
73.3841,75.8137,65.3151,10.4987
74.7184,76.1261,65.6832,10.4429
76.0526,77.9548,67.568,10.3868
77.3869,80.6914,70.3611,10.3303
78.7211,74.8019,64.5284,10.2735
80.0554,76.9644,66.7481,10.2163
81.3896,78.8028,68.644,10.1588
82.7239,75.1065,65.0055,10.101
84.0582,73.6261,63.5832,10.0429
85.3924,75.7302,65.7456,9.98463
86.7267,73.546,63.6199,9.92609
88.0609,75.6524,65.785,9.86735
89.3952,71.7611,61.9527,9.80841
90.7294,72.6758,62.9265,9.7493
92.0637,75.6094,65.9194,9.69004
93.3979,73.0447,63.414,9.63065
94.7322,74.2098,64.6387,9.57115
96.0665,70.0354,60.5238,9.51154
97.4007,70.7852,61.3333,9.45186
98.735,69.8182,60.4261,9.39211
100.069,70.9125,61.5802,9.33231
101.403,67.9812,58.7087,9.27249
102.738,73.4203,64.2077,9.21265
104.072,72.2203,63.0675,9.1528
105.406,69.9962,60.9032,9.09298
106.741,73.8794,64.8462,9.03318
108.075,72.3828,63.4093,8.97343
109.409,69.9638,61.0501,8.91374
110.743,73.191,64.3368,8.85411
112.078,70.5322,61.7376,8.79457
113.412,71.5467,62.8116,8.73513
114.746,70.3423,61.6665,8.6758
116.08,71.4976,62.881,8.61658
117.415,70.2344,61.6769,8.5575
118.749,69.8264,61.3278,8.49856
120.083,71.8492,63.4095,8.43978
121.417,72.1822,63.801,8.38116
122.752,70.5895,62.2668,8.32271
124.086,69.7979,61.5334,8.26445
125.42,72.4426,64.2362,8.20639
126.754,70.7103,62.5618,8.14852
128.089,70.1738,62.083,8.09087
129.423,68.9843,60.9509,8.03343
130.757,66.5401,58.5638,7.97622
132.091,71.523,63.6038,7.91925
133.426,69.5375,61.675,7.86252
134.76,69.6977,61.8916,7.80603
136.094,67.1151,59.3652,7.74981
137.428,69.9985,62.3047,7.69384
138.763,70.7431,63.105,7.63814
140.097,69.6418,62.059,7.58272
141.431,69.1938,61.6662,7.52758
142.765,70.0731,62.6004,7.47272
144.1,68.7673,61.3491,7.41815
145.434,69.2384,61.8746,7.36388
146.768,69.6252,62.3153,7.3099
148.102,69.6087,62.3525,7.25623
149.437,70.6637,63.4609,7.20287
150.771,72.3341,65.1842,7.14981
152.105,72.0289,64.9319,7.09707
153.439,74.2443,67.1997,7.04465
154.774,72.189,65.1964,6.99255
156.108,74.6823,67.7415,6.94078
157.442,71.3756,64.4862,6.88933
158.777,75.4426,68.6044,6.83821
160.111,75.8256,69.0381,6.78742
161.445,72.0601,65.3231,6.73696
162.779,71.8433,65.1565,6.68684
164.114,75.5105,68.8735,6.63706
165.448,74.2535,67.6659,6.58761
166.782,71.3962,64.8577,6.53851
168.116,74.618,68.1283,6.48974
169.451,75.3946,68.9533,6.44132
170.785,71.7304,65.3372,6.39324
172.119,74.3294,67.9839,6.3455
173.453,73.3378,67.0397,6.29811
174.788,74.7676,68.5165,6.25106
176.122,75.5363,69.3319,6.20436
177.456,77.5748,71.4168,6.158
178.79,75.3469,69.2349,6.11199
180.125,73.6483,67.582,6.06633
181.459,74.8109,68.7899,6.02101
182.793,75.6695,69.6934,5.97603
184.127,75.6857,69.7543,5.9314
185.462,75.9787,70.0916,5.88711
186.796,76.0787,70.2355,5.84317
188.13,77.6149,71.8153,5.79957
189.464,75.9249,70.1686,5.75632
190.799,76.4794,70.766,5.7134
192.133,74.7047,69.0339,5.67083
193.467,75.0325,69.4039,5.62859
194.801,75.3123,69.7256,5.58669
196.136,78.9401,73.395,5.54514
197.47,78.0084,72.5045,5.50391
198.804,78.1587,72.6956,5.46303
200.138,78.0779,72.6555,5.42247
201.473,76.9736,71.5913,5.38225
202.807,77.9054,72.5631,5.34236
204.141,79.3317,74.0289,5.3028
205.475,75.3926,70.129,5.26357
206.81,80.7029,75.4782,5.22466
208.144,81.8226,76.6365,5.18608
209.478,79.728,74.5801,5.14782
210.813,79.3646,74.2547,5.10988
212.147,81.46,76.3877,5.07226
213.481,82.5839,77.5489,5.03496
214.815,80.7027,75.7047,4.99798
216.15,80.8053,75.844,4.96131
217.484,80.5765,75.6516,4.92495
218.818,83.2319,78.343,4.8889
220.152,82.5209,77.6678,4.85316
221.487,80.6825,75.8648,4.81772
222.821,83.1874,78.4048,4.78259
224.155,81.4586,76.7109,4.74777
225.489,84.0207,79.3075,4.71324
226.824,84.3154,79.6364,4.67901
228.158,84.6367,79.9916,4.64507
229.492,84.4948,79.8834,4.61143
230.826,86.6516,82.0735,4.57809
232.161,84.0039,79.4589,4.54503
233.495,86.9819,82.4696,4.51226
234.829,85.4108,80.931,4.47977
236.163,85.4579,81.0104,4.44757
237.498,85.3165,80.9008,4.41565
238.832,87.0313,82.6473,4.38401
240.166,84.9969,80.6442,4.35264
241.5,85.538,81.2164,4.32155
242.835,91.5071,87.2164,4.29073
244.169,88.8787,84.6185,4.26019
245.503,89.1889,84.959,4.22991
246.837,91.0304,86.8305,4.19989
248.172,87.8274,83.6572,4.17014
249.506,87.2154,83.0747,4.14065
250.84,88.4698,84.3584,4.11142
252.174,88.6003,84.5179,4.08245
253.509,90.5766,86.5228,4.05373
254.843,91.9868,87.9615,4.02527
256.177,93.0195,89.0224,3.99706
257.511,92.8642,88.8951,3.96909
