E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
0,9.69071,0,9.69071
1.33426,9.76537,0.075231,9.69014
2.66851,9.86475,0.176322,9.68843
4.00277,9.9916,0.306023,9.68558
5.33703,10.1401,0.458465,9.68159
6.67128,10.298,0.621491,9.67647
8.00554,10.7163,1.04608,9.67021
9.33979,12.107,2.44414,9.66283
10.6741,14.1585,4.50417,9.65432
12.0083,12.9396,3.2949,9.6447
13.3426,15.8012,6.16724,9.63398
14.6768,18.2252,8.60307,9.62214
16.0111,20.4809,10.8717,9.60922
17.3453,21.8907,12.2955,9.59521
18.6796,24.0102,14.43,9.58013
20.0138,31.4335,21.8696,9.56398
21.3481,34.062,24.5152,9.54678
22.6824,39.3488,29.8203,9.52853
24.0166,43.4726,33.9634,9.50926
25.3509,51.6585,42.1696,9.48897
26.6851,58.4571,48.9895,9.46768
28.0194,62.1599,52.7145,9.44539
29.3536,71.3982,61.9761,9.42214
30.6879,79.92,70.5221,9.39792
32.0222,77.7537,68.3809,9.37276
33.3564,83.0213,73.6746,9.34667
34.6907,89.098,79.7783,9.31967
36.0249,83.0775,73.7858,9.29178
37.3592,78.7617,69.4987,9.26301
38.6934,77.9461,68.7127,9.23338
40.0277,72.7325,63.5296,9.20291
41.3619,69.5494,60.3778,9.17162
42.6962,71.1607,62.0212,9.13953
44.0305,66.3077,57.2011,9.10665
45.3647,64.7369,55.6639,9.073
46.699,61.4231,52.3845,9.03861
48.0332,66.3207,57.3172,9.0035
49.3675,63.8513,54.8836,8.96768
50.7017,63.7012,54.7701,8.93117
52.036,63.2953,54.4013,8.894
53.3703,63.9637,55.1076,8.85618
54.7045,56.9191,48.1013,8.81774
56.0388,64.406,55.6273,8.77869
57.373,57.9443,49.2053,8.73906
58.7073,60.7232,52.0243,8.69887
60.0415,56.3923,47.7342,8.65813
61.3758,61.5114,52.8945,8.61687
62.71,62.3168,53.7417,8.57511
64.0443,62.4398,53.907,8.53286
65.3786,61.5611,53.0709,8.49015
66.7128,62.3734,53.9264,8.447
68.0471,60.8174,52.4139,8.40343
69.3813,62.0956,53.7361,8.35946
70.7156,59.6191,51.304,8.3151
72.0498,62.6274,54.357,8.27038
73.3841,67.8669,59.6416,8.22532
74.7184,62.5928,54.4128,8.17993
76.0526,64.032,55.8978,8.13424
77.3869,65.3518,57.2636,8.08825
78.7211,67.2242,59.1822,8.042
80.0554,63.3219,55.3264,7.9955
81.3896,65.8653,57.9165,7.94876
82.7239,65.0912,57.1894,7.90181
84.0582,63.4908,55.6361,7.85466
85.3924,62.3624,54.5551,7.80733
86.7267,63.9612,56.2014,7.75983
88.0609,62.7081,54.9959,7.71219
89.3952,64.3631,56.6987,7.66441
90.7294,60.6167,53.0001,7.61651
92.0637,64.6117,57.0431,7.56852
93.3979,61.6114,54.0909,7.52043
94.7322,61.086,53.6137,7.47228
96.0665,63.1189,55.6949,7.42407
97.4007,59.6123,52.2365,7.37581
98.735,59.8677,52.5402,7.32753
100.069,61.4697,54.1905,7.27923
101.403,61.8039,54.573,7.23093
102.738,61.4816,54.299,7.18263
104.072,63.4226,56.2882,7.13436
105.406,60.5637,53.4776,7.08612
106.741,60.149,53.1111,7.03793
108.075,61.8592,54.8694,6.9898
109.409,63.2219,56.2801,6.94173
110.743,61.9978,55.104,6.89374
112.078,62.1176,55.2717,6.84584
113.412,64.3832,57.5852,6.79805
114.746,62.1832,55.4328,6.75036
116.08,63.6865,56.9838,6.70278
117.415,61.7305,55.0752,6.65534
118.749,61.0192,54.4112,6.60803
120.083,64.1688,57.608,6.56087
121.417,61.9248,55.4109,6.51386
122.752,60.6535,54.1865,6.46701
124.086,59.9382,53.5179,6.42032
125.42,61.1018,54.728,6.37382
126.754,63.3645,57.037,6.32749
128.089,61.3429,55.0615,6.28136
129.423,61.2117,54.9763,6.23542
130.757,60.1951,54.0054,6.18968
132.091,60.1094,53.9652,6.14414
133.426,62.1914,56.0925,6.09883
134.76,59.2457,53.192,6.05372
136.094,60.4141,54.4053,6.00885
137.428,61.1931,55.2289,5.9642
138.763,61.9287,56.009,5.91978
140.097,59.7456,53.87,5.8756
141.431,61.0303,55.1986,5.83166
142.765,59.9967,54.2088,5.78797
144.1,59.995,54.2504,5.74452
145.434,60.6615,54.9602,5.70133
146.768,62.4224,56.764,5.65839
148.102,61.9122,56.2965,5.61571
149.437,61.902,56.3287,5.5733
150.771,61.4396,55.9085,5.53114
152.105,62.6902,57.201,5.48926
153.439,64.6502,59.2026,5.44764
154.774,65.5271,60.1208,5.40629
156.108,62.9787,57.6135,5.36522
157.442,63.2023,57.8779,5.32442
158.777,63.9142,58.6303,5.2839
160.111,62.7957,57.552,5.24365
161.445,63.2718,58.0682,5.20369
162.779,65.1114,59.9474,5.164
164.114,62.6517,57.5271,5.1246
165.448,62.9748,57.8893,5.08548
166.782,63.4025,58.3558,5.04664
168.116,65.0679,60.0598,5.00809
169.451,63.7283,58.7585,4.96982
170.785,64.3206,59.3887,4.93183
172.119,64.6166,59.7225,4.89413
173.453,66.5689,61.7121,4.85672
174.788,65.8421,61.0225,4.81959
176.122,67.1264,62.3437,4.78275
177.456,67.7699,63.0237,4.74619
178.79,67.1071,62.3972,4.70991
180.125,66.4875,61.8136,4.67392
181.459,66.8029,62.1646,4.63822
182.793,68.0032,63.4004,4.6028
184.127,68.6667,64.099,4.56766
185.462,69.0648,64.532,4.53281
186.796,69.311,64.8128,4.49823
188.13,67.7594,63.2955,4.46394
189.464,68.7119,64.282,4.42993
190.799,68.6532,64.257,4.3962
192.133,67.333,62.9703,4.36275
193.467,68.0973,63.7678,4.32957
194.801,67.733,63.4363,4.29667
196.136,67.974,63.71,4.26405
197.47,70.1473,65.9156,4.2317
198.804,67.7129,63.5132,4.19962
200.138,69.7562,65.5884,4.16781
201.473,70.0816,65.9453,4.13628
202.807,70.7756,66.6706,4.10501
204.141,71.4736,67.3996,4.07401
205.475,70.851,66.8078,4.04328
206.81,69.7604,65.7476,4.01281
208.144,72.4448,68.4622,3.9826
209.478,69.7409,65.7882,3.95266
210.813,72.6115,68.6885,3.92297
212.147,72.0589,68.1654,3.89354
213.481,74.6241,70.7598,3.86437
214.815,71.7696,67.9342,3.83546
216.15,74.0978,70.291,3.8068
217.484,74.7348,70.9564,3.77839
218.818,76.9139,73.1637,3.75023
220.152,74.7933,71.071,3.72232
221.487,72.983,69.2883,3.69465
222.821,73.4631,69.7959,3.66723
224.155,74.6177,70.9776,3.64005
225.489,75.1128,71.4997,3.61312
226.824,75.9994,72.413,3.58642
228.158,76.2216,72.6616,3.55996
229.492,75.9066,72.3729,3.53374
230.826,77.5131,74.0054,3.50775
232.161,78.5938,75.1118,3.48199
233.495,79.5986,76.1421,3.45646
234.829,80.2092,76.7781,3.43116
236.163,81.168,77.762,3.40609
237.498,79.2227,75.8414,3.38124
238.832,78.7317,75.3751,3.35662
240.166,80.522,77.1897,3.33221
241.5,79.0072,75.6992,3.30803
242.835,82.2519,78.9679,3.28406
244.169,80.2254,76.9651,3.26031
245.503,80.4381,77.2013,3.23677
246.837,82.0301,78.8167,3.21345
248.172,82.6946,79.5042,3.19033
249.506,81.3565,78.189,3.16743
250.84,82.6481,79.5034,3.14473
252.174,83.6395,80.5173,3.12223
253.509,82.3266,79.2267,3.09994
254.843,81.3265,78.2486,3.07784
256.177,84.2386,81.1826,3.05595
257.511,83.9688,80.9345,3.03425
258.846,86.1605,83.1477,3.01275
260.18,84.629,81.6375,2.99145
261.514,85.5159,82.5456,2.97033
262.849,87.161,84.2116,2.94941
264.183,87.0965,84.1679,2.92867
265.517,87.4125,84.5044,2.90812
266.851,84.8918,82.004,2.88776
268.186,87.8101,84.9425,2.86758
269.52,85.913,83.0655,2.84758
270.854,86.9816,84.1539,2.82776
272.188,86.48,83.6719,2.80812
273.523,85.9303,83.1416,2.78865
