Time (ns),System after lsq fit to System
0.0000000,0.0000000
0.0000050,0.0031940
0.0000100,0.0062218
0.0000150,0.0090243
0.0000200,0.0115669
0.0000250,0.0138367
0.0000300,0.0158531
0.0000350,0.0176468
0.0000400,0.0192846
0.0000450,0.0208090
0.0000500,0.0222268
0.0000550,0.0235369
0.0000600,0.0247319
0.0000650,0.0258092
0.0000700,0.0267674
0.0000750,0.0276207
0.0000800,0.0284150
0.0000850,0.0291893
0.0000900,0.0299754
0.0000950,0.0307812
0.0001000,0.3478308
0.0001050,0.3478753
0.0001100,0.3479281
0.0001150,0.3479903
0.0001200,0.3480613
0.0001250,0.3481380
0.0001300,0.3482176
0.0001350,0.3482998
0.0001400,0.3483882
0.0001450,0.3484852
0.0001500,0.3485898
0.0001550,0.3486977
0.0001600,0.3488028
0.0001650,0.3489014
0.0001700,0.3489922
0.0001750,0.3490770
0.0001800,0.3491589
0.0001850,0.3492391
0.0001900,0.3493178
0.0001950,0.3493944
0.0002000,0.3574872
0.0002050,0.3575491
0.0002100,0.3576172
0.0002150,0.3576858
0.0002200,0.3577497
0.0002250,0.3578077
0.0002300,0.3578620
0.0002350,0.3579146
0.0002400,0.3579681
0.0002450,0.3580222
0.0002500,0.3580754
0.0002550,0.3581253
0.0002600,0.3581696
0.0002650,0.3582087
0.0002700,0.3582437
0.0002750,0.3582775
0.0002800,0.3583152
0.0002850,0.3583608
0.0002900,0.3584158
0.0002950,0.3584773
0.0003000,0.4269709
0.0003050,0.4270005
0.0003100,0.4270379
0.0003150,0.4270838
0.0003200,0.4271342
0.0003250,0.4271847
0.0003300,0.4272338
0.0003350,0.4272836
0.0003400,0.4273373
0.0003450,0.4273960
0.0003500,0.4274584
0.0003550,0.4275219
0.0003600,0.4275851
0.0003650,0.4276480
0.0003700,0.4277099
0.0003750,0.4277695
0.0003800,0.4278259
0.0003850,0.4278794
0.0003900,0.4279301
0.0003950,0.4279751
0.0004000,0.4276749
0.0004050,0.4277073
0.0004100,0.4277425
0.0004150,0.4277809
0.0004200,0.4278220
0.0004250,0.4278668
0.0004300,0.4279150
0.0004350,0.4279643
0.0004400,0.4280110
0.0004450,0.4280518
0.0004500,0.4280866
0.0004550,0.4281175
0.0004600,0.4281481
0.0004650,0.4281813
0.0004700,0.4282178
0.0004750,0.4282591
0.0004800,0.4283073
0.0004850,0.4283642
0.0004900,0.4284265
0.0004950,0.4284883
0.0005000,0.4420865
0.0005050,0.4420934
0.0005100,0.4421099
0.0005150,0.4421357
0.0005200,0.4421662
0.0005250,0.4421968
0.0005300,0.4422263
0.0005350,0.4422564
0.0005400,0.4422883
0.0005450,0.4423214
0.0005500,0.4423533
0.0005550,0.4423813
0.0005600,0.4424052
0.0005650,0.4424270
0.0005700,0.4424477
0.0005750,0.4424681
0.0005800,0.4424881
0.0005850,0.4425083
0.0005900,0.4425293
0.0005950,0.4425498
0.0006000,0.4413187
0.0006050,0.4413281
0.0006100,0.4413480
0.0006150,0.4413778
0.0006200,0.4414152
0.0006250,0.4414582
0.0006300,0.4415048
0.0006350,0.4415544
0.0006400,0.4416067
0.0006450,0.4416609
0.0006500,0.4417164
0.0006550,0.4417728
0.0006600,0.4418282
0.0006650,0.4418787
0.0006700,0.4419198
0.0006750,0.4419498
0.0006800,0.4419698
0.0006850,0.4419834
0.0006900,0.4419958
0.0006950,0.4420120
0.0007000,0.4344859
0.0007050,0.4345080
0.0007100,0.4345425
0.0007150,0.4345835
0.0007200,0.4346267
0.0007250,0.4346701
0.0007300,0.4347125
0.0007350,0.4347547
0.0007400,0.4347988
0.0007450,0.4348467
0.0007500,0.4348972
0.0007550,0.4349459
0.0007600,0.4349883
0.0007650,0.4350208
0.0007700,0.4350421
0.0007750,0.4350543
0.0007800,0.4350628
0.0007850,0.4350741
0.0007900,0.4350911
0.0007950,0.4351122
0.0008000,0.4276977
0.0008050,0.4277077
0.0008100,0.4277212
0.0008150,0.4277375
0.0008200,0.4277572
0.0008250,0.4277805
0.0008300,0.4278060
0.0008350,0.4278316
0.0008400,0.4278546
0.0008450,0.4278732
0.0008500,0.4278898
0.0008550,0.4279096
0.0008600,0.4279368
0.0008650,0.4279719
0.0008700,0.4280111
0.0008750,0.4280497
0.0008800,0.4280840
0.0008850,0.4281119
0.0008900,0.4281343
0.0008950,0.4281547
0.0009000,0.4159411
0.0009050,0.4159408
0.0009100,0.4159507
0.0009150,0.4159695
0.0009200,0.4159955
0.0009250,0.4160270
0.0009300,0.4160627
0.0009350,0.4161028
0.0009400,0.4161488
0.0009450,0.4162024
0.0009500,0.4162627
0.0009550,0.4163255
0.0009600,0.4163873
0.0009650,0.4164473
0.0009700,0.4165075
0.0009750,0.4165692
0.0009800,0.4166310
0.0009850,0.4166897
0.0009900,0.4167432
0.0009950,0.4167925
0.0010000,0.3986723
0.0010050,0.3986942
0.0010100,0.3987247
0.0010150,0.3987648
0.0010200,0.3988139
0.0010250,0.3988699
0.0010300,0.3989287
0.0010350,0.3989853
0.0010400,0.3990364
0.0010450,0.3990826
0.0010500,0.3991250
0.0010550,0.3991651
0.0010600,0.3992050
0.0010650,0.3992465
0.0010700,0.3992902
0.0010750,0.3993339
0.0010800,0.3993736
0.0010850,0.3994054
0.0010900,0.3994261
0.0010950,0.3994359
0.0011000,0.3952348
0.0011050,0.3952312
0.0011100,0.3952316
0.0011150,0.3952351
0.0011200,0.3952421
0.0011250,0.3952525
0.0011300,0.3952667
0.0011350,0.3952862
0.0011400,0.3953122
0.0011450,0.3953462
0.0011500,0.3953880
0.0011550,0.3954357
0.0011600,0.3954859
0.0011650,0.3955338
0.0011700,0.3955755
0.0011750,0.3956091
0.0011800,0.3956359
0.0011850,0.3956585
0.0011900,0.3956765
0.0011950,0.3956876
0.0012000,0.3828718
0.0012050,0.3828776
0.0012100,0.3828853
0.0012150,0.3828942
0.0012200,0.3829046
0.0012250,0.3829180
0.0012300,0.3829372
0.0012350,0.3829655
0.0012400,0.3830054
0.0012450,0.3830574
0.0012500,0.3831192
0.0012550,0.3831877
0.0012600,0.3832599
0.0012650,0.3833313
0.0012700,0.3833960
0.0012750,0.3834477
0.0012800,0.3834847
0.0012850,0.3835111
0.0012900,0.3835334
0.0012950,0.3835568
0.0013000,0.4059601
0.0013050,0.4059686
0.0013100,0.4059849
0.0013150,0.4060043
0.0013200,0.4060258
0.0013250,0.4060503
0.0013300,0.4060778
0.0013350,0.4061075
0.0013400,0.4061397
0.0013450,0.4061766
0.0013500,0.4062192
0.0013550,0.4062663
0.0013600,0.4063156
0.0013650,0.4063642
0.0013700,0.4064099
0.0013750,0.4064518
0.0013800,0.4064912
0.0013850,0.4065286
0.0013900,0.4065621
0.0013950,0.4065893
0.0014000,0.4173123
0.0014050,0.4173294
0.0014100,0.4173557
0.0014150,0.4173864
0.0014200,0.4174172
0.0014250,0.4174471
0.0014300,0.4174800
0.0014350,0.4175213
0.0014400,0.4175742
0.0014450,0.4176353
0.0014500,0.4176951
0.0014550,0.4177439
0.0014600,0.4177781
0.0014650,0.4178008
0.0014700,0.4178186
0.0014750,0.4178359
0.0014800,0.4178533
0.0014850,0.4178707
0.0014900,0.4178886
0.0014950,0.4179071
0.0015000,0.4313221
0.0015050,0.4313329
0.0015100,0.4313519
0.0015150,0.4313797
0.0015200,0.4314154
0.0015250,0.4314572
0.0015300,0.4315018
0.0015350,0.4315454
0.0015400,0.4315877
0.0015450,0.4316315
0.0015500,0.4316789
0.0015550,0.4317283
0.0015600,0.4317754
0.0015650,0.4318168
0.0015700,0.4318521
0.0015750,0.4318833
0.0015800,0.4319126
0.0015850,0.4319414
0.0015900,0.4319697
0.0015950,0.4319967
0.0016000,0.4104096
0.0016050,0.4104222
0.0016100,0.4104536
0.0016150,0.4104999
0.0016200,0.4105524
0.0016250,0.4106044
0.0016300,0.4106531
0.0016350,0.4106997
0.0016400,0.4107470
0.0016450,0.4107977
0.0016500,0.4108533
0.0016550,0.4109121
0.0016600,0.4109679
0.0016650,0.4110130
0.0016700,0.4110410
0.0016750,0.4110502
0.0016800,0.4110454
0.0016850,0.4110353
0.0016900,0.4110291
0.0016950,0.4110310
0.0017000,0.3924577
0.0017050,0.3924586
0.0017100,0.3924630
0.0017150,0.3924695
0.0017200,0.3924792
0.0017250,0.3924949
0.0017300,0.3925197
0.0017350,0.3925542
0.0017400,0.3925961
0.0017450,0.3926411
0.0017500,0.3926863
0.0017550,0.3927318
0.0017600,0.3927801
0.0017650,0.3928320
