E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
0,40.5749,0,40.5749
0.162714,38.7857,-1.78859,40.5743
0.325428,39.2467,-1.3261,40.5728
0.488143,39.3194,-1.25078,40.5702
0.650857,38.1112,-2.45537,40.5666
0.813571,39.1529,-1.40907,40.5619
0.976285,38.7576,-1.79865,40.5562
1.139,39.5341,-1.01547,40.5495
1.30171,39.3115,-1.23025,40.5418
1.46443,39.3693,-1.16366,40.533
1.62714,38.8486,-1.6746,40.5232
1.78986,39.0134,-1.49901,40.5124
1.95257,38.9753,-1.52523,40.5005
2.11528,39.4442,-1.04339,40.4876
2.278,39.1688,-1.3049,40.4737
2.44071,39.2311,-1.22773,40.4588
2.60343,39.3966,-1.04625,40.4429
2.76614,38.1653,-2.26057,40.4259
2.92886,38.1373,-2.27067,40.4079
3.09157,39.08,-1.30901,40.389
3.25428,39.0804,-1.28861,40.369
3.417,38.8371,-1.51088,40.348
3.57971,37.8914,-2.43457,40.326
3.74243,38.796,-1.50702,40.303
3.90514,38.9213,-1.35779,40.2791
4.06785,38.8245,-1.42964,40.2541
4.23057,38.6338,-1.59438,40.2282
4.39328,39.0313,-1.16989,40.2012
4.556,39.3422,-0.831146,40.1733
4.71871,38.2803,-1.86412,40.1444
4.88143,38.769,-1.34558,40.1146
5.04414,39.1693,-0.914443,40.0838
5.20685,38.1557,-1.89623,40.052
5.36957,38.9258,-1.09347,40.0192
5.53228,38.0146,-1.97099,39.9855
5.695,38.932,-1.01896,39.9509
5.85771,39.9178,0.00247438,39.9153
6.02043,39.3735,-0.505318,39.8788
6.18314,39.2639,-0.577502,39.8414
6.34585,38.5413,-1.26167,39.803
6.50857,39.6081,-0.155625,39.7637
6.67128,39.1902,-0.533307,39.7235
6.834,39.4342,-0.248253,39.6824
6.99671,39.4909,-0.149467,39.6404
7.15942,38.074,-1.52354,39.5975
7.32214,39.7227,0.168986,39.5537
7.48485,39.4731,-0.0358665,39.509
7.64757,39.3975,-0.0659897,39.4635
7.81028,39.5118,0.094781,39.417
7.973,38.1929,-1.17685,39.3697
8.13571,38.7892,-0.532359,39.3216
8.29842,39.0529,-0.219634,39.2726
8.46114,38.829,-0.393733,39.2227
8.62385,38.6248,-0.547191,39.172
8.78657,39.3122,0.1917,39.1205
8.94928,39.9261,0.857996,39.0681
9.11199,39.6323,0.617363,39.015
9.27471,39.7336,0.772592,38.961
9.43742,39.5911,0.684837,38.9062
9.60014,40.0407,1.19006,38.8507
9.76285,40.8201,2.02577,38.7943
9.92557,40.6642,1.92705,38.7372
10.0883,40.9796,2.30033,38.6793
10.251,39.5163,0.89568,38.6206
10.4137,38.8858,0.324638,38.5612
10.5764,39.9588,1.45779,38.501
10.7391,40.3928,1.95274,38.4401
10.9019,40.6943,2.31585,38.3784
