Time (ns),Water after lsq fit to Water
0.0000000,0.0000000
0.0000820,0.0367446
0.0001640,0.3417980
0.0002460,0.4821671
0.0003280,0.4844875
0.0004100,0.3481541
0.0004920,0.3477799
0.0005740,0.4854496
0.0006560,0.5425005
0.0007380,0.4840366
0.0008200,0.5410793
0.0009020,0.5408181
0.0009840,0.5426267
0.0010660,0.2555701
0.0011480,0.3508291
0.0012300,0.2566258
0.0013120,0.4226053
0.0013940,0.4219241
0.0014760,0.4232386
0.0015580,0.4863959
0.0016400,0.4866767
0.0017220,0.5919278
0.0018040,0.4229362
0.0018860,0.4235645
0.0019680,0.5923058
0.0020500,0.5418638
0.0021320,0.5426984
0.0022140,0.4242801
0.0022960,0.4238389
0.0023780,0.6400101
0.0024600,0.6806655
0.0025420,0.5391794
0.0026240,0.5403884
0.0027060,0.5400985
0.0027880,0.5404712
0.0028700,0.6382624
0.0029520,0.5904353
0.0030340,0.6379060
0.0031160,0.5931562
0.0031980,0.5932714
0.0032800,0.4893806
0.0033620,0.4873026
0.0034440,0.5934938
0.0035260,0.4879676
0.0036080,0.4288043
0.0036900,0.4303663
0.0037720,0.3576666
0.0038540,0.2659254
0.0039360,0.4285419
0.0040180,0.4285197
0.0041000,0.3570162
0.0041820,0.3565934
0.0042640,0.3573400
0.0043460,0.2656469
0.0044280,0.4907112
0.0045100,0.4299335
0.0045920,0.4306530
0.0046740,0.4933684
0.0047560,0.3579814
0.0048380,0.4309490
0.0049200,0.4306347
0.0050020,0.5963760
0.0050840,0.5978016
0.0051660,0.4312989
0.0052480,0.3591097
0.0053300,0.5983269
0.0054120,0.4317586
0.0054940,0.4317942
0.0055760,0.4938536
0.0056580,0.5978055
0.0057400,0.6443854
0.0058220,0.6434425
0.0059040,0.5985813
0.0059860,0.5998809
0.0060680,0.4941284
0.0061500,0.4933042
0.0062320,0.4303161
0.0063140,0.5970890
0.0063960,0.5996285
0.0064780,0.5483734
0.0065600,0.5988118
0.0066420,0.4348452
0.0067240,0.4333820
0.0068060,0.4321182
0.0068880,0.4320793
0.0069700,0.5493327
0.0070520,0.5485585
0.0071340,0.6427895
0.0072160,0.4942243
0.0072980,0.4950045
0.0073800,0.6002648
0.0074620,0.4966874
0.0075440,0.4338852
0.0076260,0.5495220
0.0077080,0.4936379
0.0077900,0.4936619
0.0078720,0.5998119
0.0079540,0.4337805
0.0080360,0.4945225
0.0081180,0.4933158
0.0082000,0.4937165
0.0082820,0.4941488
0.0083640,0.4329979
0.0084460,0.4343599
0.0085280,0.3631138
0.0086100,0.5487882
0.0086920,0.5495865
0.0087740,0.5518846
0.0088560,0.3650698
0.0089380,0.3657622
0.0090200,0.4371916
0.0091020,0.3663930
0.0091840,0.3662418
0.0092660,0.4965656
0.0093480,0.5484932
0.0094300,0.5983280
0.0095120,0.5977664
0.0095940,0.5982915
0.0096760,0.5494297
0.0097580,0.5508457
0.0098400,0.4355875
0.0099220,0.4981043
0.0100040,0.4992739
0.0100860,0.5011799
0.0101680,0.2793464
0.0102500,0.4393020
0.0103320,0.4374610
0.0104140,0.5515536
0.0104960,0.5521935
0.0105780,0.5536163
0.0106600,0.6497529
0.0107420,0.6027533
0.0108240,0.6465314
0.0109060,0.6455106
0.0109880,0.6467762
0.0110700,0.6028441
0.0111520,0.3666847
0.0112340,0.4392944
0.0113160,0.3673849
0.0113980,0.3682427
0.0114800,0.5000090
0.0115620,0.5000456
0.0116440,0.4980381
0.0117260,0.4986477
0.0118080,0.4380746
0.0118900,0.4390527
0.0119720,0.4998747
0.0120540,0.6034181
0.0121360,0.6001628
0.0122180,0.5530275
0.0123000,0.5000461
0.0123820,0.5016861
0.0124640,0.4409603
0.0125460,0.5007406
0.0126280,0.5005654
0.0127100,0.6487510
0.0127920,0.6497226
0.0128740,0.6485708
0.0129560,0.6039750
0.0130380,0.6057187
0.0131200,0.6051693
0.0132020,0.5011875
0.0132840,0.5014279
0.0133660,0.5538791
0.0134480,0.6028176
0.0135300,0.6012990
0.0136120,0.6878791
0.0136940,0.6888075
0.0137760,0.4996615
0.0138580,0.6035569
0.0139400,0.5534254
0.0140220,0.5041317
0.0141040,0.5013785
0.0141860,0.5025868
0.0142680,0.5541096
0.0143500,0.6008412
0.0144320,0.7308485
0.0145140,0.6890998
0.0145960,0.6913183
0.0146780,0.5514152
0.0147600,0.4989734
0.0148420,0.6020898
0.0149240,0.7276632
0.0150060,0.5968827
0.0150880,0.5972577
0.0151700,0.6456051
0.0152520,0.6452945
0.0153340,0.7295211
0.0154160,0.6018859
0.0154980,0.6011671
0.0155800,0.6477217
0.0156620,0.6905134
0.0157440,0.6025822
0.0158260,0.4995381
0.0159080,0.6496690
0.0159900,0.6509455
0.0160720,0.5566345
0.0161540,0.5583897
0.0162360,0.6907734
0.0163180,0.6462925
0.0164000,0.8006957
0.0164820,0.8018337
0.0165640,0.7268372
0.0166460,0.6853209
0.0167280,0.6859255
0.0168100,0.6419168
0.0168920,0.6406451
0.0169740,0.6825064
0.0170560,0.6429358
0.0171380,0.7262558
0.0172200,0.7617540
0.0173020,0.6847824
0.0173840,0.6864666
0.0174660,0.5986957
0.0175480,0.7647097
0.0176300,0.7283130
0.0177120,0.6456332
0.0177940,0.6458178
0.0178760,0.6838737
0.0179580,0.7267087
0.0180400,0.7266078
0.0181220,0.7251431
0.0182040,0.6863409
0.0182860,0.6863378
0.0183680,0.7237175
0.0184500,0.6866591
0.0185320,0.6439058
0.0186140,0.7260148
0.0186960,0.7250838
0.0187780,0.7992308
0.0188600,0.7238255
0.0189420,0.7256031
0.0190240,0.7256270
0.0191060,0.6842299
0.0191880,0.6846884
0.0192700,0.6421542
0.0193520,0.6853876
0.0194340,0.7277650
0.0195160,0.8007904
0.0195980,0.8009596
0.0196800,0.7650856
0.0197620,0.6442155
0.0198440,0.6867249
0.0199260,0.7249542
0.0200080,0.6862331
0.0200900,0.6865380
0.0201720,0.7277382
0.0202540,0.7650281
0.0203360,0.8360323
0.0204180,0.7982826
0.0205000,0.8666090
0.0205820,0.8684737
0.0206640,0.7996853
0.0207460,0.8691751
0.0208280,0.7267414
0.0209100,0.6859514
0.0209920,0.6874889
0.0210740,0.7283622
0.0211560,0.7291615
0.0212380,0.6470940
0.0213200,0.5494457
0.0214020,0.6001744
0.0214840,0.6004997
0.0215660,0.5992419
0.0216480,0.6866216
0.0217300,0.6854651
0.0218120,0.7261227
0.0218940,0.7270022
0.0219760,0.7269761
0.0220580,0.7635847
0.0221400,0.7244195
0.0222220,0.7232247
0.0223040,0.8323803
0.0223860,0.8326007
0.0224680,0.7616240
0.0225500,0.6833159
0.0226320,0.7242514
0.0227140,0.7249415
0.0227960,0.7247776
0.0228780,0.7245707
0.0229600,0.7242667
0.0230420,0.6854224
0.0231240,0.7239467
0.0232060,0.6824831
0.0232880,0.6839737
0.0233700,0.6436174
0.0234520,0.7256576
0.0235340,0.7243107
0.0236160,0.7983044
0.0236980,0.7974343
0.0237800,0.7993298
0.0238620,0.7249689
0.0239440,0.6861976
0.0240260,0.6430925
0.0241080,0.6413070
0.0241900,0.6421340
0.0242720,0.7257216
0.0243540,0.6440068
0.0244360,0.6428465
0.0245180,0.6416514
0.0246000,0.6842500
0.0246820,0.6861454
0.0247640,0.7657676
