E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
0,269.493,0,269.493
0.162714,270.099,0.612154,269.486
0.325428,271.253,1.78747,269.466
0.488143,267.878,-1.55356,269.431
0.650857,271.077,1.6945,269.383
0.813571,269.011,-0.309196,269.321
0.976285,268.284,-0.960608,269.245
1.139,267.769,-1.38577,269.155
1.30171,270.66,1.60913,269.051
1.46443,267.424,-1.50986,268.934
1.62714,271.068,2.26455,268.803
1.78986,269.573,0.914529,268.659
1.95257,269.031,0.530308,268.501
2.11528,264.843,-3.48575,268.329
2.278,268.241,0.0968675,268.144
2.44071,272.643,4.69729,267.946
2.60343,268.538,0.803896,267.734
2.76614,269.315,1.80667,267.508
2.92886,269.498,2.22748,267.27
3.09157,270.558,3.53964,267.018
3.25428,269.959,3.20566,266.754
3.417,266.352,-0.123856,266.476
3.57971,273.421,7.23503,266.186
3.74243,272.423,6.54072,265.882
3.90514,269,3.4342,265.566
4.06785,269.234,3.99671,265.237
4.23057,268.168,3.27265,264.896
4.39328,270.535,5.99334,264.542
4.556,269.026,4.85043,264.176
4.71871,270.914,7.11703,263.797
4.88143,272.771,9.36411,263.407
5.04414,271.651,8.64727,263.004
5.20685,268.38,5.79014,262.59
5.36957,272.469,10.306,262.163
5.53228,270.352,8.62716,261.725
5.695,271.248,9.97275,261.276
5.85771,269.652,8.8372,260.815
6.02043,272.691,12.3488,260.342
6.18314,273.003,13.1437,259.859
6.34585,273.238,13.8729,259.365
6.50857,269.866,11.0065,258.859
6.67128,270.746,12.4028,258.343
6.834,270.856,13.0396,257.817
6.99671,270.153,12.8738,257.279
7.15942,273.286,16.5542,256.732
7.32214,272.268,16.0939,256.174
7.48485,272.441,16.8348,255.607
7.64757,274.211,19.1825,255.029
7.81028,269.495,15.0532,254.442
7.973,273.069,19.2245,253.845
8.13571,273.908,20.6691,253.238
8.29842,274.112,21.4888,252.623
8.46114,272.613,20.6147,251.998
8.62385,272.834,21.4694,251.364
8.78657,271.917,21.1951,250.722
8.94928,272.282,22.2116,250.071
9.11199,271.465,22.0539,249.411
9.27471,276.055,27.3115,248.743
9.43742,273.429,25.3614,248.067
9.60014,274.83,27.4463,247.383
9.76285,275.031,28.3399,246.691
9.92557,275.495,29.503,245.992
10.0883,274.298,29.0128,245.285
10.251,273.74,29.1694,244.57
10.4137,277.456,33.6076,243.849
10.5764,279.62,36.4997,243.12
10.7391,273.203,30.8188,242.385
10.9019,275.964,34.3217,241.642
11.0646,276.68,35.7866,240.894
11.2273,274.71,34.5711,240.139
11.39,274.602,35.2245,239.377
