E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
0,318.917,0,318.917
0.162714,314.773,-4.13836,318.911
0.325428,314.911,-3.98264,318.893
0.488143,316.322,-2.54075,318.863
0.650857,316.862,-1.95864,318.821
0.813571,315.093,-3.67357,318.766
0.976285,314.375,-4.32542,318.7
1.139,317.162,-1.45976,318.622
1.30171,316.695,-1.83604,318.531
1.46443,320.038,1.60877,318.429
1.62714,318.677,0.362609,318.314
1.78986,322.138,3.95023,318.188
1.95257,316.894,-1.15557,318.05
2.11528,319.706,1.80627,317.9
2.278,316.397,-1.34094,317.738
2.44071,317.327,-0.236673,317.564
2.60343,321.668,4.28916,317.378
2.76614,316.406,-0.775559,317.181
2.92886,319.303,2.33122,316.972
3.09157,317.781,1.02916,316.751
3.25428,318.205,1.68617,316.519
3.417,318.533,2.25799,316.275
3.57971,315.912,-0.108325,316.02
3.74243,322.544,6.79092,315.754
3.90514,319.896,4.42019,315.475
4.06785,318.983,3.79719,315.186
4.23057,318.74,3.855,314.885
4.39328,320.425,5.85149,314.574
4.556,321.374,7.12289,314.251
4.71871,318.891,4.97465,313.917
4.88143,319.094,5.52245,313.572
5.04414,318.71,5.49426,313.216
5.20685,320.253,7.40382,312.849
5.36957,318.331,5.85954,312.472
5.53228,320.782,8.69847,312.084
5.695,318.024,6.33849,311.685
5.85771,321.693,10.4164,311.276
6.02043,320.56,9.70317,310.857
6.18314,320.169,9.74186,310.427
6.34585,320.938,10.9515,309.987
6.50857,321.99,12.4534,309.536
6.67128,316.81,7.73381,309.076
6.834,324.293,15.6868,308.606
6.99671,320.632,12.5063,308.126
7.15942,323.947,16.3112,307.636
7.32214,323.169,16.032,307.137
7.48485,322.721,16.0936,306.628
7.64757,323.593,17.4839,306.109
7.81028,321.885,16.3036,305.581
7.973,322.643,17.5985,305.044
8.13571,321.82,17.3217,304.498
8.29842,325.66,21.7169,303.943
8.46114,321.134,17.7548,303.379
8.62385,323.271,20.4646,302.806
8.78657,324.438,22.2139,302.225
8.94928,326.306,24.6721,301.634
9.11199,325.845,24.8092,301.036
9.27471,323.468,23.0389,300.429
9.43742,327.645,27.8314,299.814
9.60014,326.411,27.221,299.19
9.76285,328.207,29.6482,298.559
9.92557,327.946,30.0258,297.92
10.0883,324.577,27.3045,297.273
10.251,323.007,26.3892,296.618
10.4137,325.99,30.0344,295.956
10.5764,328.887,33.601,295.286
10.7391,327.245,32.6351,294.609
10.9019,326.558,32.6326,293.925
11.0646,328.047,34.8128,293.234
11.2273,329.082,36.5451,292.536
11.39,328.17,36.3384,291.832
11.5527,327.863,36.7426,291.12
11.7154,329.231,38.8286,290.402
11.8781,332.633,42.9556,289.678
12.0409,328.779,39.8325,288.947
12.2036,328.392,40.1823,288.21
12.3663,330.338,42.8707,287.467
12.529,331.14,44.4219,286.718
12.6917,332.12,46.1564,285.963
12.8544,332.479,47.2761,285.203
13.0171,330.812,46.3753,284.437
13.1798,331.081,47.4161,283.665
13.3426,332.978,50.0901,282.888
13.5053,332.806,50.7002,282.106
13.668,329.544,48.2255,281.319
13.8307,330.601,50.0739,280.527
13.9934,330.768,51.0383,279.73
14.1561,335.315,56.3873,278.928
14.3188,335.139,57.0174,278.122
14.4816,334.7,57.3892,277.311
14.6443,336.564,60.0683,276.496
14.807,331.349,55.6727,275.676
14.9697,340.667,65.8137,274.853
15.1324,340.715,66.6894,274.025
15.2951,337.436,64.2419,273.194
15.4578,337.232,64.8733,272.359
15.6206,338.539,67.0196,271.52
15.7833,338.438,67.7605,270.677
15.946,336.111,66.2795,269.831
16.1087,338.911,69.9284,268.982
16.2714,342.56,74.4301,268.13
16.4341,339.853,72.5785,267.274
16.5968,336.856,70.4405,266.416
16.7596,339.773,74.2189,265.554
16.9223,346.098,81.4082,264.69
17.085,347.446,83.6221,263.823
17.2477,344.494,81.5404,262.954
17.4104,343.658,81.5757,262.082
17.5731,344.169,82.9609,261.208
17.7358,345.139,84.8071,260.332
17.8986,341.81,82.3573,259.453
18.0613,345.358,86.7853,258.572
18.224,348.645,90.9552,257.69
18.3867,353.471,96.6652,256.806
18.5494,349.981,94.0615,255.92
18.7121,346.327,91.2956,255.032
18.8748,350.847,96.7048,254.143
19.0376,352.235,98.9829,253.252
19.2003,353.109,100.749,252.36
19.363,353.35,101.883,251.467
19.5257,350.253,99.6805,250.572
19.6884,354.259,104.582,249.677
19.8511,355.982,107.202,248.78
20.0138,360.079,112.196,247.883
20.1766,360.078,113.093,246.985
20.3393,352.427,106.341,246.086
20.502,364.204,119.017,245.186
20.6647,357.217,112.93,244.286
20.8274,366.067,122.681,243.386
20.9901,357.863,115.378,242.485
21.1528,363.344,121.76,241.584
21.3156,362.502,121.819,240.683
21.4783,354.544,114.763,239.781
21.641,363.002,124.123,238.88
21.8037,367.542,129.563,237.978
21.9664,368.036,130.96,237.077
22.1291,364.106,127.931,236.176
22.2918,367.305,132.031,235.275
22.4546,363.329,128.955,234.374
22.6173,369.723,136.249,233.474
22.78,368.815,136.241,232.574
22.9427,369.16,137.486,231.675
23.1054,372.733,141.957,230.776
23.2681,370.453,140.575,229.878
23.4308,369.855,140.875,228.981
23.5936,374.247,146.163,228.084
23.7563,373.898,146.709,227.189
23.919,374.045,147.751,226.294
24.0817,375.926,150.526,225.4
24.2444,377.456,152.948,224.508
24.4071,373.334,149.718,223.616
24.5698,375.209,152.483,222.726
24.7326,377.794,155.958,221.837
24.8953,374.518,153.569,220.949
25.058,384.227,164.164,220.062
25.2207,380.757,161.58,219.177
25.3834,388.315,170.022,218.293
25.5461,382.613,165.202,217.411
25.7088,380.931,164.401,216.53
25.8716,385.897,170.246,215.651
26.0343,384.438,169.665,214.774
26.197,383.971,170.074,213.898
