Time (ns),System after lsq fit to System
0.0000000,0.0000000
0.0000820,0.0261533
0.0001640,0.3571434
0.0002460,0.3854140
0.0003280,0.4089148
0.0004100,0.4158957
0.0004920,0.4164969
0.0005740,0.4309203
0.0006560,0.4269095
0.0007380,0.4508021
0.0008200,0.4772760
0.0009020,0.4480622
0.0009840,0.4488171
0.0010660,0.4023373
0.0011480,0.4377338
0.0012300,0.3781768
0.0013120,0.3830900
0.0013940,0.3832203
0.0014760,0.4275690
0.0015580,0.4344452
0.0016400,0.4066159
0.0017220,0.3872423
0.0018040,0.4312267
0.0018860,0.4318020
0.0019680,0.4246634
0.0020500,0.4031494
0.0021320,0.4246590
0.0022140,0.4385534
0.0022960,0.4388202
0.0023780,0.4146688
0.0024600,0.4422282
0.0025420,0.4100449
0.0026240,0.4245452
0.0027060,0.4144408
0.0027880,0.4149843
0.0028700,0.4069873
0.0029520,0.4214483
0.0030340,0.4353476
0.0031160,0.4353598
0.0031980,0.4357453
0.0032800,0.4590576
0.0033620,0.4279974
0.0034440,0.4105177
0.0035260,0.4524603
0.0036080,0.4461188
0.0036900,0.4464490
0.0037720,0.4635635
0.0038540,0.4863210
0.0039360,0.4770799
0.0040180,0.4596535
0.0041000,0.4587916
0.0041820,0.4590089
0.0042640,0.4682138
0.0043460,0.4688141
0.0044280,0.4430776
0.0045100,0.4527401
0.0045920,0.4531129
0.0046740,0.4469021
0.0047560,0.4595882
0.0048380,0.4754683
0.0049200,0.4496005
0.0050020,0.4458062
0.0050840,0.4458220
0.0051660,0.4523474
0.0052480,0.4678986
0.0053300,0.4519140
0.0054120,0.4592315
0.0054940,0.4596133
0.0055760,0.4627698
0.0056580,0.4390610
0.0057400,0.4462995
0.0058220,0.4725361
0.0059040,0.4718341
0.0059860,0.4720855
0.0060680,0.4687148
0.0061500,0.4454714
0.0062320,0.4560261
0.0063140,0.4528790
0.0063960,0.4531860
0.0064780,0.4665412
0.0065600,0.4565928
0.0066420,0.4760190
0.0067240,0.4672762
0.0068060,0.4577502
0.0068880,0.4584394
0.0069700,0.4369516
0.0070520,0.4508212
0.0071340,0.4444230
0.0072160,0.4441049
0.0072980,0.4445099
0.0073800,0.4569889
0.0074620,0.4693121
0.0075440,0.4764255
0.0076260,0.4756633
0.0077080,0.4851824
0.0077900,0.4858834
0.0078720,0.4531612
0.0079540,0.4792724
0.0080360,0.4673619
0.0081180,0.4724005
0.0082000,0.4662158
0.0082820,0.4668748
0.0083640,0.4698747
0.0084460,0.4295759
0.0085280,0.4626948
0.0086100,0.4731200
0.0086920,0.4735857
0.0087740,0.4568778
0.0088560,0.4862715
0.0089380,0.4979149
0.0090200,0.4763559
0.0091020,0.4922606
0.0091840,0.4925590
0.0092660,0.4641182
0.0093480,0.4630482
0.0094300,0.4786231
0.0095120,0.4725931
0.0095940,0.4731989
0.0096760,0.4822856
0.0097580,0.4765295
0.0098400,0.4604681
0.0099220,0.4821260
0.0100040,0.4853100
0.0100860,0.4854534
0.0101680,0.5062183
0.0102500,0.4880030
0.0103320,0.4944968
0.0104140,0.4850105
0.0104960,0.4854105
0.0105780,0.4699689
0.0106600,0.4824080
0.0107420,0.4919839
0.0108240,0.5099008
0.0109060,0.5067870
0.0109880,0.5072863
0.0110700,0.5034509
0.0111520,0.4923639
0.0112340,0.4892478
0.0113160,0.4607362
0.0113980,0.4608770
0.0114800,0.4632564
0.0115620,0.4724992
0.0116440,0.4408852
0.0117260,0.4697156
0.0118080,0.4895951
0.0118900,0.4899836
0.0119720,0.4760507
0.0120540,0.4979772
0.0121360,0.5076637
0.0122180,0.4952521
0.0123000,0.4918493
0.0123820,0.4922415
0.0124640,0.4796833
0.0125460,0.4769957
0.0126280,0.4920138
0.0127100,0.4898767
0.0127920,0.4904317
0.0128740,0.4589839
0.0129560,0.4651447
0.0130380,0.4750249
0.0131200,0.4609735
0.0132020,0.4833899
0.0132840,0.4835832
0.0133660,0.4610528
0.0134480,0.4678220
0.0135300,0.4809395
0.0136120,0.4735611
0.0136940,0.4738409
0.0137760,0.4573920
0.0138580,0.4540497
0.0139400,0.4582623
0.0140220,0.4798678
0.0141040,0.4789178
0.0141860,0.4793656
0.0142680,0.4696424
0.0143500,0.4939924
0.0144320,0.4793080
0.0145140,0.4888768
0.0145960,0.4891312
0.0146780,0.4829736
0.0147600,0.4890127
0.0148420,0.4822617
0.0149240,0.4822467
0.0150060,0.4828116
0.0150880,0.4830717
0.0151700,0.4701252
0.0152520,0.4725732
0.0153340,0.4572270
0.0154160,0.5004055
0.0154980,0.5005439
0.0155800,0.4945537
0.0156620,0.5177972
0.0157440,0.4962399
0.0158260,0.4875340
0.0159080,0.4689605
0.0159900,0.4696362
0.0160720,0.4664004
0.0161540,0.4886776
0.0162360,0.4661654
0.0163180,0.4859110
0.0164000,0.4789639
0.0164820,0.4792854
0.0165640,0.4915556
0.0166460,0.4828178
0.0167280,0.4790588
0.0168100,0.4536589
0.0168920,0.4540106
0.0169740,0.5034557
0.0170560,0.4792306
0.0171380,0.4660891
0.0172200,0.4764422
0.0173020,0.4915303
0.0173840,0.4920281
0.0174660,0.4828756
0.0175480,0.4896597
0.0176300,0.4866077
0.0177120,0.4798850
0.0177940,0.4799978
0.0178760,0.4921457
0.0179580,0.5044169
0.0180400,0.4829848
0.0181220,0.4858761
0.0182040,0.4795711
0.0182860,0.4799040
0.0183680,0.5009767
0.0184500,0.4572527
0.0185320,0.4570225
0.0186140,0.4762931
0.0186960,0.4769258
0.0187780,0.4953034
0.0188600,0.5036561
0.0189420,0.4506867
0.0190240,0.4609345
0.0191060,0.4829100
0.0191880,0.4831262
0.0192700,0.4764266
0.0193520,0.4668591
0.0194340,0.4981706
0.0195160,0.5034178
0.0195980,0.5038959
0.0196800,0.4949814
0.0197620,0.5064631
0.0198440,0.5011548
0.0199260,0.5093135
0.0200080,0.4760203
0.0200900,0.4764400
0.0201720,0.4635848
0.0202540,0.4975633
0.0203360,0.4729848
0.0204180,0.4824301
0.0205000,0.4599876
0.0205820,0.4602893
0.0206640,0.5034508
0.0207460,0.4852889
0.0208280,0.4940990
0.0209100,0.4527335
0.0209920,0.4531884
0.0210740,0.4599980
0.0211560,0.4765082
0.0212380,0.4893552
0.0213200,0.4709469
0.0214020,0.4414202
0.0214840,0.4417646
0.0215660,0.5134916
0.0216480,0.4895927
0.0217300,0.5009944
0.0218120,0.4947106
0.0218940,0.4951030
0.0219760,0.4947448
0.0220580,0.4861973
0.0221400,0.4678550
0.0222220,0.4862778
0.0223040,0.4961215
0.0223860,0.4965450
0.0224680,0.4902774
0.0225500,0.4805378
0.0226320,0.4676307
0.0227140,0.5020096
0.0227960,0.5022097
0.0228780,0.5055102
0.0229600,0.4814728
0.0230420,0.4932918
