Time (ns),non-Water after lsq fit to non-Water
0.0000000,0.0000000
0.0000820,0.0268252
0.0001640,0.3045665
0.0002460,0.3526579
0.0003280,0.3660109
0.0004100,0.3988732
0.0004920,0.3995574
0.0005740,0.3670894
0.0006560,0.3254818
0.0007380,0.3620472
0.0008200,0.3706415
0.0009020,0.3485204
0.0009840,0.3488351
0.0010660,0.3529532
0.0011480,0.3750605
0.0012300,0.3615840
0.0013120,0.3571813
0.0013940,0.3581054
0.0014760,0.3488820
0.0015580,0.3440807
0.0016400,0.3102136
0.0017220,0.3298469
0.0018040,0.3482069
0.0018860,0.3488086
0.0019680,0.3301683
0.0020500,0.3302274
0.0021320,0.3575644
0.0022140,0.3251389
0.0022960,0.3257538
0.0023780,0.3301086
0.0024600,0.3832561
0.0025420,0.3663982
0.0026240,0.3393316
0.0027060,0.3787626
0.0027880,0.3792518
0.0028700,0.3488436
0.0029520,0.3614824
0.0030340,0.3868797
0.0031160,0.3484773
0.0031980,0.3487942
0.0032800,0.3707507
0.0033620,0.3620235
0.0034440,0.3249855
0.0035260,0.3299200
0.0036080,0.3530278
0.0036900,0.3531781
0.0037720,0.3789972
0.0038540,0.3621666
0.0039360,0.3746907
0.0040180,0.3616059
0.0041000,0.4220473
0.0041820,0.4224195
0.0042640,0.3532710
0.0043460,0.3396440
0.0044280,0.3661908
0.0045100,0.3574854
0.0045920,0.3577842
0.0046740,0.3396845
0.0047560,0.3532920
0.0048380,0.3529449
0.0049200,0.3702952
0.0050020,0.3907536
0.0050840,0.3913836
0.0051660,0.3300034
0.0052480,0.3439222
0.0053300,0.3614236
0.0054120,0.3569013
0.0054940,0.3575602
0.0055760,0.3298250
0.0056580,0.3615932
0.0057400,0.3949336
0.0058220,0.3949803
0.0059040,0.3614524
0.0059860,0.3618854
0.0060680,0.3995470
0.0061500,0.3530892
0.0062320,0.3483936
0.0063140,0.3153121
0.0063960,0.3155143
0.0064780,0.3301621
0.0065600,0.3302503
0.0066420,0.3662963
0.0067240,0.3749366
0.0068060,0.3393786
0.0068880,0.3397518
0.0069700,0.3487125
0.0070520,0.3580074
0.0071340,0.3705499
0.0072160,0.3348006
0.0072980,0.3349456
0.0073800,0.3348459
0.0074620,0.3487061
0.0075440,0.3574796
0.0076260,0.3394139
0.0077080,0.3438824
0.0077900,0.3441836
0.0078720,0.3532579
0.0079540,0.3254296
0.0080360,0.3303768
0.0081180,0.3392476
0.0082000,0.3530008
0.0082820,0.3533171
0.0083640,0.3664206
0.0084460,0.3528161
0.0085280,0.3870055
0.0086100,0.3344532
0.0086920,0.3350933
0.0087740,0.3444689
0.0088560,0.3253602
0.0089380,0.3742572
0.0090200,0.3485795
0.0091020,0.3437502
0.0091840,0.3444991
0.0092660,0.3531721
0.0093480,0.3748339
0.0094300,0.3791280
0.0095120,0.3204408
0.0095940,0.3204353
0.0096760,0.3992951
0.0097580,0.3575971
0.0098400,0.3574678
0.0099220,0.3614372
0.0100040,0.3571473
0.0100860,0.3575262
0.0101680,0.3661372
0.0102500,0.3620055
0.0103320,0.3573272
0.0104140,0.3573955
0.0104960,0.3578188
0.0105780,0.3490474
0.0106600,0.3209193
0.0107420,0.2949340
0.0108240,0.3575534
0.0109060,0.3784942
0.0109880,0.3790042
0.0110700,0.3665171
0.0111520,0.3622873
0.0112340,0.3532363
0.0113160,0.3487801
0.0113980,0.3490797
0.0114800,0.3754670
0.0115620,0.3349717
0.0116440,0.3349217
0.0117260,0.3530784
0.0118080,0.3619212
0.0118900,0.3623603
0.0119720,0.3620332
0.0120540,0.3871506
0.0121360,0.3744464
0.0122180,0.3787521
0.0123000,0.3395468
0.0123820,0.3399229
0.0124640,0.3349698
0.0125460,0.3620986
0.0126280,0.4143938
0.0127100,0.3569854
0.0127920,0.3575401
0.0128740,0.3486235
0.0129560,0.3912193
0.0130380,0.3830950
0.0131200,0.3393105
0.0132020,0.3391195
0.0132840,0.3396619
0.0133660,0.3393649
0.0134480,0.3485810
0.0135300,0.3662403
0.0136120,0.3746401
0.0136940,0.3748868
0.0137760,0.3915480
0.0138580,0.3870187
0.0139400,0.3990932
0.0140220,0.3950516
0.0141040,0.3701930
0.0141860,0.3707775
0.0142680,0.3488299
0.0143500,0.3438857
0.0144320,0.3572803
0.0145140,0.3346594
0.0145960,0.3349701
0.0146780,0.3488840
0.0147600,0.3393290
0.0148420,0.3202338
0.0149240,0.2998853
0.0150060,0.3393580
0.0150880,0.3396996
0.0151700,0.3486978
0.0152520,0.3348507
0.0153340,0.3662544
0.0154160,0.3703894
0.0154980,0.3708958
0.0155800,0.3577959
0.0156620,0.3663325
0.0157440,0.3576279
0.0158260,0.3617698
0.0159080,0.3438840
0.0159900,0.3442839
0.0160720,0.3792253
0.0161540,0.3708833
0.0162360,0.3349416
0.0163180,0.3252405
0.0164000,0.3436574
0.0164820,0.3440301
0.0165640,0.3619783
0.0166460,0.3703445
0.0167280,0.3704093
0.0168100,0.3438079
0.0168920,0.3441647
0.0169740,0.3620364
0.0170560,0.3789423
0.0171380,0.3482702
0.0172200,0.3390660
0.0173020,0.3528169
0.0173840,0.3531628
0.0174660,0.3488203
0.0175480,0.2945818
0.0176300,0.3533526
0.0177120,0.3618627
0.0177940,0.3620962
0.0178760,0.3442799
0.0179580,0.3299797
0.0180400,0.3391385
0.0181220,0.3393006
0.0182040,0.3655876
0.0182860,0.3658281
0.0183680,0.3705415
0.0184500,0.3574378
0.0185320,0.3617991
0.0186140,0.3616899
0.0186960,0.3621858
0.0187780,0.3953951
0.0188600,0.3707943
0.0189420,0.3256581
0.0190240,0.3487870
0.0191060,0.3484412
0.0191880,0.3486312
0.0192700,0.3831637
0.0193520,0.3951548
0.0194340,0.3704831
0.0195160,0.3300996
0.0195980,0.3305630
0.0196800,0.3301727
0.0197620,0.3489760
0.0198440,0.3789278
0.0199260,0.3618118
0.0200080,0.3530105
0.0200900,0.3533889
0.0201720,0.3751586
0.0202540,0.3298650
0.0203360,0.3251247
0.0204180,0.3436512
0.0205000,0.3614089
0.0205820,0.3617463
0.0206640,0.3440063
0.0207460,0.3298921
0.0208280,0.3390925
0.0209100,0.3439162
0.0209920,0.3443741
0.0210740,0.3439983
0.0211560,0.3831271
0.0212380,0.3618291
0.0213200,0.3573034
0.0214020,0.3573222
0.0214840,0.3579515
0.0215660,0.3535605
0.0216480,0.3398297
0.0217300,0.3439800
0.0218120,0.3616870
0.0218940,0.3620093
0.0219760,0.3304409
0.0220580,0.3154925
0.0221400,0.3617511
0.0222220,0.3530825
0.0223040,0.3946610
0.0223860,0.3953589
0.0224680,0.3620923
0.0225500,0.3442155
0.0226320,0.3747753
0.0227140,0.3345897
0.0227960,0.3349289
0.0228780,0.3397427
0.0229600,0.3488306
0.0230420,0.3053078
0.0231240,0.3532478
0.0232060,0.3745754
0.0232880,0.3752367
0.0233700,0.3398651
0.0234520,0.3300442
0.0235340,0.3302865
0.0236160,0.3003442
0.0236980,0.3005197
0.0237800,0.3350435
0.0238620,0.3531450
0.0239440,0.3571323
0.0240260,0.3828842
0.0241080,0.3869741
0.0241900,0.3874622
0.0242720,0.3397300
0.0243540,0.3204389
0.0244360,0.3747840
0.0245180,0.3437243
0.0246000,0.3701627
0.0246820,0.3704776
0.0247640,0.3748580
0.0248460,0.3486743
0.0249280,0.3104170
0.0250100,0.3346298
0.0250920,0.3349555
0.0251740,0.3252046
0.0252560,0.3251179
0.0253380,0.3484348
0.0254200,0.3346143
0.0255020,0.2784173
0.0255840,0.2788171
0.0256660,0.2896330
0.0257480,0.3152927
0.0258300,0.3440609
0.0259120,0.3829039
0.0259940,0.3833574
0.0260760,0.3621173
0.0261580,0.3620341
0.0262400,0.3302760
0.0263220,0.3619516
0.0264040,0.3573456
0.0264860,0.3577513
0.0265680,0.3487628
0.0266500,0.3394209
0.0267320,0.3574176
0.0268140,0.3700585
0.0268960,0.3705375
0.0269780,0.3876908
0.0270600,0.3664105
0.0271420,0.3298672
0.0272240,0.3439553
0.0273060,0.3348098
0.0273880,0.3352166
0.0274700,0.3618809
0.0275520,0.3744845
0.0276340,0.3910763
0.0277160,0.3392246
0.0277980,0.3396437
0.0278800,0.3440627
0.0279620,0.3990832
0.0280440,0.3483185
0.0281260,0.3441150
0.0282080,0.3395726
0.0282900,0.3400204
0.0283720,0.3440033
0.0284540,0.3707228
0.0285360,0.3705322
0.0286180,0.3615838
0.0287000,0.3527079
0.0287820,0.3531279
0.0288640,0.3663103
0.0289460,0.3575536
