Time (ps),Temperature
0.000000,150.266190
2.000000,149.790527
4.000000,151.089005
6.000000,150.700851
8.000000,151.893723
10.000000,149.509811
12.000000,150.683182
14.000000,151.800735
16.000000,151.554230
18.000000,149.049927
20.000000,149.507645
22.000000,149.305267
24.000000,149.851608
26.000000,149.396927
28.000000,151.074631
30.000000,149.448196
32.000000,149.880188
34.000000,150.044510
36.000000,150.955765
38.000000,149.174103
40.000000,148.591217
42.000000,150.551483
44.000000,150.024826
46.000000,146.828003
48.000000,148.746109
50.000000,151.257538
