Time (ps),Temperature
0.000000,101.411926
1.000000,99.772835
2.000000,97.634727
3.000000,97.763672
4.000000,97.717628
5.000000,96.710533
6.000000,96.289185
7.000000,93.061272
8.000000,93.677345
9.000000,91.925514
10.000000,90.793983
11.000000,89.780701
12.000000,90.179008
13.000000,88.192238
14.000000,87.790405
15.000000,86.280632
16.000000,84.675568
17.000000,84.966331
18.000000,82.347870
19.000000,82.553444
20.000000,81.835381
21.000000,80.320213
22.000000,79.490440
23.000000,78.397522
24.000000,77.105621
25.000000,74.919525
26.000000,74.308540
27.000000,74.150513
28.000000,73.102859
29.000000,72.983017
30.000000,71.811295
31.000000,70.902557
32.000000,69.179703
33.000000,68.596924
34.000000,67.418068
35.000000,66.241341
36.000000,65.668343
37.000000,64.743538
38.000000,63.548893
39.000000,62.416862
40.000000,61.043633
41.000000,60.681042
42.000000,59.320751
43.000000,58.403969
44.000000,56.739864
45.000000,56.242596
46.000000,54.406261
47.000000,54.263130
48.000000,52.713974
49.000000,52.759388
50.000000,50.920815
