Time (ps),Temperature
0.000000,149.143280
2.000000,150.355423
4.000000,153.623917
6.000000,149.948456
8.000000,150.420761
10.000000,150.802277
12.000000,150.548325
14.000000,150.100922
16.000000,148.473801
18.000000,151.857574
20.000000,151.073502
22.000000,150.612717
24.000000,148.567566
26.000000,151.576340
28.000000,149.137146
30.000000,149.321335
32.000000,150.550644
34.000000,147.994843
36.000000,148.936600
38.000000,148.733917
40.000000,149.955658
42.000000,150.662674
44.000000,149.486954
46.000000,151.190796
48.000000,148.310837
50.000000,151.622467
