Time (ps),Temperature
0.000000,101.430038
1.000000,101.187164
2.000000,100.983932
3.000000,102.320007
4.000000,100.792938
5.000000,104.186104
6.000000,103.331345
7.000000,107.205757
8.000000,106.678078
9.000000,109.885490
10.000000,108.792854
11.000000,110.605873
12.000000,112.601601
13.000000,112.263290
14.000000,113.838982
15.000000,115.822548
16.000000,114.746033
17.000000,115.141457
18.000000,117.239738
19.000000,117.078743
20.000000,119.143311
21.000000,119.337524
22.000000,120.472847
23.000000,121.188934
24.000000,123.564400
25.000000,124.595901
26.000000,124.664322
27.000000,124.549629
28.000000,126.383011
29.000000,129.135147
30.000000,128.660294
31.000000,130.529892
32.000000,130.961700
33.000000,132.711014
34.000000,131.049545
35.000000,135.247025
36.000000,135.549683
37.000000,136.597717
38.000000,137.148529
39.000000,139.151855
40.000000,138.646988
41.000000,140.754044
42.000000,142.847183
43.000000,142.386520
44.000000,142.300018
45.000000,143.784851
46.000000,146.103470
47.000000,145.775574
48.000000,148.224243
49.000000,147.405807
50.000000,147.340836
