time step,temperature,pressure,potential energy,kinetic energy,coulomb energy,pair energy,lx,ly,lz,vol
0,49.999999999999985789,636.06368679440436154,-2101687.1576406434178,1738.2593806574993778,-253367.47119448659942,-2101687.1576406434178,58.11109007531283055,50.325680126567938544,48.001308640312274179,140378.87337753755855
2500,97.897717770055919573,387.15552575466563212,-2101702.661202149,3403.4325251752024997,-253223.73346300370758,-2101702.661202149,58.141978621003822525,50.352430391758268513,48.026823402008169239,140602.84462659698329
5000,147.57243928771674746,18.257514172277740983,-2101695.1249273521826,5130.3835383676605488,-253282.68117368491949,-2101695.1249273521826,58.20731735702888443,50.40901539687181554,48.080794938767553504,141077.39710219146218
7500,197.23605715147576234,-468.13509983809962023,-2101699.9521560473368,6856.9485309490301006,-253543.3011271104042,-2101699.9521560473368,58.306167822109443932,50.494622410602900686,48.162448056570518418,141797.37167178225354
10000,247.14411340639824743,15.287168756273032955,-2101896.3135307477787,8592.0114700590547727,-254322.71798037344706,-2101896.3135307477787,58.40903423883024459,50.583707340466709468,48.247418457424103622,142549.1927993708232
12500,297.91250390883590171,513.97340129952772259,-2102339.1642238292843,10356.984090693962571,-255189.38737023074646,-2102339.1642238292843,58.531984089887309608,50.690185034618920668,48.348978310117090018,143451.27862553059822
15000,345.93521433345290461,-904.04805193669665186,-2102785.7185147092678,12026.502628297746924,-255318.23035656800494,-2102785.7185147092678,58.718212748549667879,50.851463783547593778,48.502808143811982688,144824.87770380853908
17500,400.01403026763529169,432.11494380788553826,-2102919.225811492186,13906.562810146602715,-256262.3694654321007,-2102919.225811492186,58.857377696796660871,50.971984163758044417,48.617762098798372961,145857.0456104677869
20000,441.48725381552907265,158.59323288982446343,-2102300.9481346411631,15348.38720771124099,-256688.35158237881842,-2102300.9481346411631,59.034520140398861088,51.125394019639252008,48.764086476771993262,147177.96655268190079
22500,494.43382458913129085,548.81888363385814955,-2100773.3519357424229,17189.084674128444021,-257257.49379104693071,-2100773.3519357424229,59.201792844452121756,51.270256430363012612,48.902258186921599759,148432.58905798089108
25000,543.75629060104984092,-674.49906916654549605,-2098402.2676063529216,18903.789458576007746,-257170.63517568013049,-2098402.2676063529216,59.406269312120933535,51.447338245417057578,49.071161197027386436,149975.91669894449296
27500,591.17816393744658399,-235.325893094063332,-2095657.6359145736787,20552.419782082877646,-257527.94787216201075,-2095657.6359145736787,59.563085862432828321,51.583145361396013584,49.200695845605970646,151166.74270953502855
30000,641.50833305719436339,1103.5974305622823977,-2092897.592908505816,22302.157554132478253,-258008.67157053493429,-2092897.592908505816,59.683348644849381515,51.68729598584975804,49.300036108010885982,152084.24709541894845
32500,690.01873758484521204,-814.31859054410188037,-2090087.5302264855709,23988.630868726060726,-257163.0412622805452,-2090087.5302264855709,59.859111328068067337,51.839510934190613511,49.445220767147375796,153431.83564918572665
35000,739.75834468930986532,429.58819578840842723,-2087048.4864253981505,25717.837641517140582,-257155.56998796996777,-2087048.4864253981505,59.942765195889506913,51.91195730867578817,49.51432109073552823,154076.00385739043122
37500,788.02302921728357887,-275.06766798463496571,-2083170.5043522538617,27395.768454221644788,-256236.66068799438654,-2083170.5043522538617,60.05795297681045497,52.011712852920709338,49.609469266693217548,154965.94274569061236
